0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.10b.3p,1_hsa.miR.10b.5p,1_hsa.miR.130b.3p,1_hsa.miR.194.3p,1_hsa.miR.451a,1_hsa.miR.486.5p,1_hsa.miR.7704,2_ANO3.63982,2_ANXA2.302,2_AR.367,2_ARPC1B.10095,2_ARX.170302,2_C12orf32.83695,2_C16orf59.80178,2_C1QBP.708,2_C4orf3.401152,2_C7orf61.402573,2_CCNE1.898,2_CDCA2.157313,2_CNTNAP1.8506,2_COL9A3.1299,2_CRADD.8738,2_CST5.1473,2_DAP3.7818,2_DDA1.79016,2_DDN.23109,2_DPP6.1804,2_EN2.2020,2_ENPP4.22875,2_ERP29.10961,2_FBXL3.26224,2_GIMAP6.474344,2_GPR153.387509,2_GPRC5A.9052,2_H3F3C.440093,2_HOXA2.3199,2_ILDR2.387597,2_IQGAP2.10788,2_ITFG3.83986,2_JAK1.3716,2_KBTBD7.84078,2_KCTD17.79734,2_KLF6.1316,2_LCTL.197021,2_LNX2.222484,2_LRWD1.222229,2_MBOAT7.79143,2_MCTS1.28985,2_MSC.9242,2_NOS1.4842,2_NPNT.255743,2_NUTF2.10204,2_ONECUT2.9480,2_PEX6.5190,2_PFN1.5216,2_PITX1.5307,2_POLR3K.51728,2_RAD54L.8438,2_RAP2A.5911,2_RAPGEFL1.51195,2_RGS17.26575,2_RIN2.54453,2_RPSA.3921,2_SALL1.6299,2_SEC24B.10427,2_SEMA5A.9037,2_SGMS1.259230,2_SLC16A12.387700,2_SLC35C2.51006,2_SLC39A1.27173,2_SNRPC.6631,2_SPOPL.339745,2_SRM.6723,2_TACC1.6867,2_TAF10.6881,2_TBC1D8B.54885,2_TBCE.6905,2_TCF3.6929,2_TIMP3.7078,2_TJP2.9414,2_TMED8.283578,2_TMEM44.93109,2_TMEM63C.57156,2_TRAIP.10293,2_TUBB2B.347733,2_TUBB3.10381,2_WIBG.84305,2_YIPF2.78992,2_ZDHHC21.340481,2_ZFYVE1.53349,2_ZNF658.26149
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
