0_age_at_initial_pathologic_diagnosis,1_..10431,1_A2LD1.87769,1_ABCA12.26154,1_ABHD3.171586,1_ANKRD32.84250,1_ARHGEF7.8874,1_ARL3.403,1_ARMC9.80210,1_ARNTL.406,1_ASXL2.55252,1_ATF4.468,1_ATP8B2.57198,1_B9D2.80776,1_BATF2.116071,1_BIN3.55909,1_BIRC5.332,1_C14orf115.55237,1_C14orf166.51637,1_C14orf45.80127,1_C19orf35.374872,1_C1orf63.57035,1_C20orf160.140706,1_C22orf46.79640,1_C6orf168.84553,1_C8orf44.56260,1_CACNG7.59284,1_CDC40.51362,1_CDKN1B.1027,1_CEP135.9662,1_CEP55.55165,1_CHMP4A.29082,1_CHP2.63928,1_CLDN9.9080,1_CMTM4.146223,1_CNIH.10175,1_CTAGE9.643854,1_CXorf22.170063,1_CXorf64.100130613,1_CYSLTR2.57105,1_DAND5.199699,1_DHDDS.79947,1_DNAJC25.548645,1_DPM1.8813,1_DPP4.1803,1_DSN1.79980,1_E2F7.144455,1_EIF3E.3646,1_EIF3J.8669,1_EIF5A2.56648,1_EMILIN1.11117,1_ENPEP.2028,1_EPHA4.2043,1_EPPK1.83481,1_ERAL1.26284,1_ESPL1.9700,1_ESR2.2100,1_EVI5L.115704,1_FAM3C.10447,1_FBN2.2201,1_FBXL15.79176,1_FGGY.55277,1_FGR.2268,1_FLJ44606.401207,1_FRMD4A.55691,1_FUCA1.2517,1_GAL3ST2.64090,1_GJA5.2702,1_GLT25D1.79709,1_GOLPH3L.55204,1_GPR1.2825,1_GPR156.165829,1_HDDC2.51020,1_HIST2H2BE.8349,1_HPS6.79803,1_IMPA2.3613,1_IQGAP2.10788,1_IRGM.345611,1_ISL2.64843,1_JAM3.83700,1_KCNJ13.3769,1_KCNK12.56660,1_KDELC2.143888,1_KDM4A.9682,1_KIAA0317.9870,1_KIAA1217.56243,1_KIAA2026.158358,1_KIF13B.23303,1_KLHL9.55958,1_KRT7.3855,1_LAMC1.3915,1_LCE5A.254910,1_LDHAL6B.92483,1_LIMK1.3984,1_LOC100128640.100128640,1_LOC388387.388387,1_MAD2L1.4085,1_MADD.8567,1_MAN1A2.10905,1_MARCH5.54708,1_METTL12.751071,1_MGA.23269,1_MLEC.9761,1_MRPL43.84545,1_NAB2.4665,1_NDUFS3.4722,1_NMB.4828,1_OFD1.8481,1_OR52K1.390036,1_ORC1L.4998,1_ORC2L.4999,1_OSR2.116039,1_P2RX5.5026,1_PADI1.29943,1_PDE2A.5138,1_PDIA6.10130,1_PER4.168741,1_PFKFB3.5209,1_PGM1.5236,1_PMM2.5373,1_PODNL1.79883,1_PRIC285.85441,1_PRKD2.25865,1_PRMT5.10419,1_PSMC6.5706,1_PTGFR.5737,1_PTGFRN.5738,1_RAB27A.5873,1_RAD18.56852,1_RAG1.5896,1_RB1.5925,1_RBPMS2.348093,1_RDH5.5959,1_RECQL4.9401,1_REXO1L1.254958,1_RIPK2.8767,1_RNF185.91445,1_RPA2.6118,1_RPLP0.6175,1_RPP30.10556,1_RTTN.25914,1_SASS6.163786,1_SCGB3A1.92304,1_SHD.56961,1_SKI.6497,1_SLC25A18.83733,1_SLC27A3.11000,1_SLC33A1.9197,1_SLC39A4.55630,1_SLC8A3.6547,1_SMARCB1.6598,1_SREBF2.6721,1_ST3GAL1.6482,1_STRA8.346673,1_SUCNR1.56670,1_SULF2.55959,1_TARSL2.123283,1_TCP1.6950,1_TEAD2.8463,1_TEKT3.64518,1_TERF2.7014,1_TFAP2E.339488,1_TIPIN.54962,1_TMEM195.392636,1_TMEM229B.161145,1_TMEM92.162461,1_TPTE2.93492,1_TRMT2B.79979,1_TSPAN10.83882,1_USP11.8237,1_USP29.57663,1_VIPR2.7434,1_VWA5B1.127731,1_WEE1.7465,1_ZAK.51776,1_ZCCHC14.23174,1_ZNF33A.7581,1_ZNF347.84671,1_ZNF582.147948,1_ZNF648.127665,1_ZNF773.374928,1_ZNF808.388558
1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
