0_age_at_initial_pathologic_diagnosis,1_A4GNT.51146,1_ABCA13.154664,1_ABCA17P.650655,1_ADRA1A.148,1_AGPAT9.84803,1_AMMECR1.9949,1_ANO3.63982,1_ANO5.203859,1_APITD1.378708,1_AQP5.362,1_ARHGAP11B.89839,1_ARHGEF7.8874,1_ARNTL.406,1_ARPC5.10092,1_ART3.419,1_ASTN1.460,1_ATL2.64225,1_AURKA.6790,1_B3GAT2.135152,1_BCL7B.9275,1_BSDC1.55108,1_C11orf73.51501,1_C14orf142.84520,1_C18orf10.25941,1_C1orf110.339512,1_C6orf89.221477,1_C9orf140.89958,1_CADM2.253559,1_CATSPERB.79820,1_CCDC67.159989,1_CCDC8.83987,1_CCDC89.220388,1_CCL3L1.6349,1_CCNB1.891,1_CD101.9398,1_CDCA2.157313,1_CDKN2BAS.100048912,1_CEACAM1.634,1_CHAF1A.10036,1_CHGB.1114,1_CHPF.79586,1_CLN8.2055,1_COL8A2.1296,1_COMMD9.29099,1_COX16.51241,1_CST6.1474,1_CTTNBP2.83992,1_CUTC.51076,1_CWC27.10283,1_DBH.1621,1_DBNDD1.79007,1_DEXI.28955,1_DGCR6.8214,1_DNASE1L1.1774,1_DPP10.57628,1_DPYSL4.10570,1_EFHB.151651,1_EIF4B.1975,1_ELF4.2000,1_ELF5.2001,1_EMP1.2012,1_EPHB4.2050,1_EPS8L2.64787,1_ERC2.26059,1_EYS.346007,1_FAM126A.84668,1_FAM13C.220965,1_FAM66C.440078,1_FBLIM1.54751,1_FBXL7.23194,1_FBXO7.25793,1_FGFR3.2261,1_FLRT1.23769,1_FNBP1L.54874,1_FSD1.79187,1_FUCA2.2519,1_GGH.8836,1_GLI2.2736,1_GLT25D1.79709,1_GORASP1.64689,1_GPR139.124274,1_GPR156.165829,1_GREB1L.80000,1_HIATL2.84278,1_HILS1.373861,1_HINT3.135114,1_HOXD4.3233,1_HSPA12A.259217,1_IL1RAPL1.11141,1_INTS8.55656,1_ISL2.64843,1_ITGA1.3672,1_ITPRIPL1.150771,1_KCTD4.386618,1_KDELC1.79070,1_KDELR2.11014,1_KIAA1012.22878,1_KIAA1370.56204,1_KLHL26.55295,1_KLHL9.55958,1_KLK11.11012,1_KLK14.43847,1_KNDC1.85442,1_KRT80.144501,1_LCP1.3936,1_LHFPL2.10184,1_LHFPL4.375323,1_LOC100128640.100128640,1_LOC100130557.100130557,1_LOC147804.147804,1_LOC284276.284276,1_LOC285419.285419,1_LOC440040.440040,1_LOC647121.647121,1_LRRC27.80313,1_LTB.4050,1_LTBR.4055,1_LTF.4057,1_LZTS1.11178,1_MAN2B2.23324,1_MAPK14.1432,1_MAPK3.5595,1_MCM8.84515,1_MKRN3.7681,1_MRPL10.124995,1_MRPS31.10240,1_MSGN1.343930,1_MSN.4478,1_MTAP.4507,1_MTMR9.66036,1_MUC1.4582,1_MVK.4598,1_NAV1.89796,1_NCRNA00159.54070,1_NHEDC1.150159,1_NOG.9241,1_NSD1.64324,1_NUDT15.55270,1_OSR2.116039,1_PALM3.342979,1_PARVB.29780,1_PDLIM4.8572,1_PDSS1.23590,1_PEX5.5830,1_PHLDA1.22822,1_PIK3C2G.5288,1_PLCL2.23228,1_PLEKHB2.55041,1_PLIN5.440503,1_PQLC3.130814,1_PRUNE2.158471,1_PSMA6.5687,1_PTGFRN.5738,1_PTPN13.5783,1_RAB33A.9363,1_RAD18.56852,1_RASA2.5922,1_RASGEF1C.255426,1_RNF19A.25897,1_RPRD1A.55197,1_RUSC2.9853,1_S100A11.6282,1_S100A13.6284,1_SC5DL.6309,1_SETD2.29072,1_SFRS13B.135295,1_SLC22A1.6580,1_SLC25A26.115286,1_SLC25A43.203427,1_SLC27A3.11000,1_SLC4A3.6508,1_SLC4A4.8671,1_SLITRK5.26050,1_SMS.6611,1_SMYD2.56950,1_SORCS3.22986,1_STAP1.26228,1_SULF2.55959,1_TAGLN2.8407,1_TBC1D2B.23102,1_TFDP1.7027,1_TGFB1.7040,1_TIFA.92610,1_TMCO1.54499,1_TMED9.54732,1_TMEM106A.113277,1_TMEM9B.56674,1_TMPRSS3.64699,1_TNFRSF11B.4982,1_TRAM1L1.133022,1_TRIM8.81603,1_TRIP10.9322,1_TRUB1.142940,1_TTC25.83538,1_TTC9.23508,1_TUG1.55000,1_TULP1.7287,1_TYR.7299,1_U2AF2.11338,1_UHMK1.127933,1_USO1.8615,1_USP34.9736,1_VCAM1.7412,1_VTCN1.79679,1_WDR67.93594,1_WEE1.7465,1_WWTR1.25937,1_ZBTB47.92999,1_ZNF283.284349,1_ZNF367.195828,1_ZNF568.374900,1_ZNF648.127665,1_ZNF691.51058,1_ZNF829.374899
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
