Algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Clinic,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinic mrna,0.9333333333333333,0.9333333333333333,0.8333333333333334,0.8,0.7333333333333333,0.7333333333333333,0.7,0.6,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.4,0.4,0.36666666666666664
Clinic mirna,0.9285714285714286,0.8928571428571429,0.8928571428571429,0.7857142857142857,0.7857142857142857,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.5357142857142857,0.5,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.32142857142857145,0.25
Clinic mirna mrna,0.9354838709677419,0.9032258064516129,0.7741935483870968,0.7741935483870968,0.7419354838709677,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6451612903225806,0.6129032258064516,0.5806451612903226,0.5806451612903226,0.5161290322580645,0.5161290322580645,0.41935483870967744,0.2903225806451613,0.2903225806451613,0.25806451612903225,0.22580645161290322,0.22580645161290322
Clinic mrna Sw,0.8571428571428571,0.6428571428571429,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
Clinic mirna Sw,0.875,0.875,0.6875,0.625,0.5,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.375,0.375,0.25,0.25,0.1875,0.1875,0.1875,0.125,0.125
Clinic mirna mrna Sw,0.9130434782608695,0.9130434782608695,0.8260869565217391,0.782608695652174,0.6956521739130435,0.6521739130434783,0.6521739130434783,0.5652173913043478,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.4782608695652174,0.43478260869565216,0.43478260869565216,0.391304347826087,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.2608695652173913,0.21739130434782608
Clinic mrna SwT,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.5,0.4444444444444444,0.4444444444444444,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555
Clinic mirna SwT,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.7647058823529411,0.7058823529411765,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.4117647058823529,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
Clinic mirna mrna SwT,0.9,0.9,0.8,0.65,0.65,0.6,0.6,0.55,0.5,0.5,0.45,0.3,0.3,0.2,0.2,0.2,0.15,0.15,0.1,0.1
Clinic mrna CSw,0.92,0.92,0.84,0.76,0.72,0.68,0.68,0.52,0.52,0.52,0.48,0.44,0.4,0.4,0.32,0.28,0.28,0.24,0.24,0.2
Clinic mirna CSw,0.92,0.88,0.88,0.76,0.76,0.76,0.64,0.6,0.6,0.56,0.44,0.36,0.36,0.32,0.32,0.28,0.28,0.24,0.24,0.24
Clinic mirna mrna CSw,0.9166666666666666,0.8333333333333334,0.75,0.625,0.625,0.5416666666666666,0.5416666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.4583333333333333,0.4166666666666667,0.375,0.375,0.2916666666666667,0.2916666666666667,0.20833333333333334
Clinic mrna LCSw,0.92,0.84,0.84,0.76,0.76,0.68,0.6,0.56,0.56,0.56,0.56,0.52,0.52,0.44,0.32,0.32,0.32,0.24,0.2,0.2
Clinic mirna LCSw,0.9166666666666666,0.875,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.625,0.5833333333333334,0.5,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2916666666666667,0.20833333333333334,0.16666666666666666
Clinic mirna mrna LCSw,0.9166666666666666,0.9166666666666666,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5,0.4583333333333333,0.4583333333333333,0.375,0.20833333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
