inner_cv_RF4_bal_acc,inner_cv_root_leanness,train_RF4_bal_acc,train_root_leanness,test_RF4_bal_acc,test_root_leanness
0.9473443783355868,0.21821789023599236,0.9752986067131374,0.21821789023599236,0.8841805163106777,0.21821789023599236
0.9442155689085248,0.28867513459481287,0.9603878565964564,0.28867513459481287,0.8916416005833561,0.28867513459481287
0.939258234491621,0.31622776601683794,0.9616165599728432,0.31622776601683794,0.8854150842119122,0.31622776601683794
0.9386177789895032,0.3333333333333333,0.9591378927643914,0.3333333333333333,0.8545908793608332,0.3333333333333333
0.9342602661860543,0.3535533905932738,0.9560303437930073,0.3535533905932738,0.880320845866375,0.3535533905932738
0.9262682777855128,0.3779644730092272,0.9573033479391924,0.3779644730092272,0.8581148279808384,0.3779644730092272
0.9194187441759846,0.408248290463863,0.9541957989678085,0.408248290463863,0.822244997794279,0.408248290463863
0.8998336837902343,0.4472135954999579,0.9408489840031977,0.4472135954999579,0.8505063501922028,0.4472135954999579
0.8881950350329746,0.5,0.9278225262210904,0.5,0.8402728169661289,0.5
0.8273763795532328,0.5773502691896257,0.8907259098692754,0.5773502691896257,0.8462446331967035,0.5773502691896257
0.67128988180068,0.7071067811865476,0.7879037386500853,0.7071067811865476,0.691887609735509,0.7071067811865476
0.2,1.0,0.2,1.0,0.2,1.0
