0_CA9,0_CLDN2,0_CLDN8,0_CLRN3,0_ENPP3,0_EPHA7,0_NDUFA4L2,0_NELL1,0_SLC22A11,0_TEK,0_UPK1B,0_VEGFA
1,1,1,0,1,1,1,1,1,0,1,1
1,1,0,0,1,1,1,1,1,0,1,1
1,1,0,0,1,1,1,1,0,0,1,1
1,1,0,0,1,1,1,1,0,0,1,0
0,1,1,0,1,1,1,0,0,0,1,0
0,0,1,1,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
