0_ANK3,0_BHMT,0_CAP2,0_CLDN8,0_ENPP3,0_HDAC5,0_MIOS,0_MLPH,0_PIGR,0_PLCD3,0_PLCG2,0_SIPA1L2,0_SLC26A11,0_SLC44A3,0_SPRED2,0_TMEM104,0_TMTC1,0_ZNF84
0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1
0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1
0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1
0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0
0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
