0_ANKRD49,0_ARMCX1,0_CCNG2,0_CD9,0_DCAF4,0_DGKA,0_DUT,0_EFNB2,0_FLT4,0_HEPH,0_IL18R1,0_KRT19,0_NDUFA4L2,0_PHKA2,0_PLCG2,0_PPP5C,0_SLC25A23,0_SLC35B3,0_SQSTM1,0_TXNRD1,0_ZCCHC24
0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0
1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
