0_BCL2L14,0_CDK18,0_CENPA,0_ECHDC2,0_EFNB2,0_GGT6,0_LDB2,0_LGI4,0_MN1,0_NLGN1,0_PLCG2,0_PXK,0_SF3B1,0_SLC15A4,0_SQSTM1
0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
