0_age_at_initial_pathologic_diagnosis,1_hsa.miR.15b.5p,1_hsa.miR.299.3p,1_hsa.miR.382.3p,2_ABCB9.23457,2_APCDD1L.164284,2_BRCA1.672,2_C9orf110.100128385,2_CCDC152.100129792,2_CCNB1.891,2_CSMD3.114788,2_CUL7.9820,2_ELK1.2002,2_FBXW4.6468,2_FDPS.2224,2_HIST1H2BD.3017,2_HMX1.3166,2_HOXD10.3236,2_IGF2BP3.10643,2_KLHL25.64410,2_LAMC1.3915,2_LOC282997.282997,2_LOC388387.388387,2_MAP1LC3C.440738,2_MIR155HG.114614,2_MTAP.4507,2_NCRNA00093.100188954,2_NTNG2.84628,2_PCDHB9.56127,2_POC1A.25886,2_PPRC1.23082,2_PTGFRN.5738,2_RNF5.6048,2_RPL4.6124,2_RPP30.10556,2_SERPINA5.5104,2_SMC4.10051,2_SMOC1.64093,2_STARD10.10809,2_SULF2.55959,2_SWAP70.23075,2_TRIM16L.147166,2_WEE1.7465,2_ZAK.51776
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
