0_AAGAB,0_ACTN3,0_AKR1C3,0_ANXA3,0_ARAF,0_ATP2B4,0_ATP6V1G1,0_ATP6V1H,0_BARX2,0_BDKRB1,0_CAND2,0_CECR2,0_CFDP1,0_CPSF6,0_CWC15,0_EIF3F,0_EYA4,0_FADS1,0_FLOT1,0_FRAT1,0_GGPS1,0_GJA4,0_GLB1,0_GLB1L,0_GPR160,0_GSTA4,0_GTF3A,0_HUNK,0_IL15,0_IMPA2,0_MED27,0_MTDH,0_N6AMT1,0_NCK1,0_OTP,0_PAF1,0_PALMD,0_PARP1,0_PHKA2,0_PI4K2B,0_PIK3R6,0_PLCG1,0_PLCG2,0_PPP2R2A,0_PTGR1,0_RBM15,0_RBM17,0_REEP6,0_REN,0_RGPD3,0_RIC8A,0_RSPH3,0_RUVBL2,0_SIL1,0_SLC26A11,0_SMC4,0_SPTBN4,0_SQSTM1,0_SV2C,0_TARBP2,0_TM4SF18,0_TPK1,0_TRAPPC6A,0_TRIOBP,0_TUFT1,0_UBE3C,0_YAF2,0_ZFAND5,0_ZSCAN12
1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
