0_ANKRD13A,0_CIDEB,0_EFNB2,0_LDB2,0_MED15,0_NLGN1,0_PLCG2,0_SQSTM1,0_STC2,0_TBC1D1,0_TBC1D15,0_VEGFA
0,1,0,0,1,1,0,1,1,1,1,0
1,0,0,1,0,1,0,1,0,1,0,0
0,0,0,0,0,1,1,1,0,0,0,1
0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
