gen,evals,gen_feats,explored,Pam50 naive Bayes balanced accuracy_min,Pam50 naive Bayes balanced accuracy_avg,Pam50 naive Bayes balanced accuracy_max,Pam50 naive Bayes balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,931,931,0.2,0.6017682816782703,0.8428675415744042,0.15181750668624744,0.0196078431372549,0.08599133740325761,1.0,0.14582263230904965
1,507,1156,1198,0.2,0.6266090261974341,0.8453623724867422,0.1654108367545401,0.017857142857142856,0.09834594524805025,1.0,0.11241464975508934
2,500,1195,1454,0.2,0.6497953100548732,0.8508299446902505,0.15914490405927464,0.017857142857142856,0.10525435022538976,1.0,0.1159959180433498
3,500,1219,1702,0.2,0.6799375902842298,0.8640256099216469,0.1511965792670736,0.016129032258064516,0.10238971376251046,1.0,0.1141378080177447
4,500,1221,1919,0.2,0.7014791177897112,0.8640256099216469,0.1482725118388097,0.016129032258064516,0.1021165858888711,1.0,0.11381446933517786
5,500,1236,2158,0.2,0.7115658944670468,0.8719224742585915,0.14843549833793268,0.018518518518518517,0.10681590814126599,1.0,0.11485218933652251
6,500,1247,2385,0.2,0.7326489305906301,0.8788801583435999,0.1466143139857672,0.015384615384615385,0.10235775926682798,1.0,0.11384999766464508
7,500,1216,2613,0.2,0.7451642637998097,0.8788801583435999,0.14360128770747058,0.015384615384615385,0.10231890477976904,1.0,0.11322110646217767
8,500,1249,2828,0.2,0.7588501021197523,0.8887215913354425,0.13817537666230548,0.015384615384615385,0.1000469085461984,1.0,0.11171257236839251
9,500,1260,3049,0.2,0.7690952137590849,0.8893068698556407,0.13356420959911317,0.015384615384615385,0.09996858670959557,1.0,0.1117517821974209
10,500,1243,3259,0.2,0.7741583010073496,0.9095784976526783,0.13497431652299557,0.015384615384615385,0.10230468819694315,1.0,0.11408100469608061
11,500,1270,3485,0.2,0.7880590109340444,0.9095784976526783,0.12959625307670017,0.014084507042253521,0.09781101454605819,1.0,0.11258424461155198
12,500,1257,3689,0.2,0.7937234571953156,0.9095784976526783,0.12758322307905287,0.014084507042253521,0.09799958221092556,1.0,0.11252932782861193
13,500,1241,3874,0.2,0.7999548311613274,0.9095784976526783,0.12463941626898134,0.015625,0.09885331775813773,1.0,0.11232434955914075
14,500,1232,4070,0.2,0.8097498353515116,0.9109647673211336,0.12186608127281925,0.015151515151515152,0.09556319237637126,1.0,0.1121015056558976
15,500,1230,4246,0.2,0.817228829499238,0.9109647673211336,0.11710946284295004,0.015151515151515152,0.09477177037084113,1.0,0.11070205464043868
16,500,1222,4455,0.2,0.8217835284744933,0.9109647673211336,0.11726994500541085,0.014925373134328358,0.09511029793349127,1.0,0.1106530187611149
17,500,1245,4651,0.2,0.8264530812861632,0.914252834044829,0.11703918164538601,0.014705882352941176,0.09393123918821676,1.0,0.11112987265192091
18,500,1220,4851,0.2,0.8328473065830062,0.914252834044829,0.11402302990830304,0.014705882352941176,0.09109729485873101,1.0,0.10880252955072962
19,500,1251,5032,0.2,0.8357632933722439,0.9148195577402953,0.1144386184577041,0.014705882352941176,0.09067168359259761,1.0,0.10887737395983936
20,500,1274,5240,0.2,0.8383081818676386,0.9253872211148447,0.1149147762400417,0.014925373134328358,0.09096608968986791,1.0,0.10887913731999088
21,500,1217,5418,0.2,0.8384264215246882,0.9253872211148447,0.11919969449964742,0.015151515151515152,0.09324676425273976,1.0,0.11133685921110453
22,500,1228,5578,0.2,0.8434926724899483,0.9253872211148447,0.11466993385566218,0.015151515151515152,0.0911717505492883,1.0,0.10887088626286116
23,500,1242,5746,0.2,0.8453614752296501,0.9253872211148447,0.11471842914180129,0.015151515151515152,0.09118748595320733,1.0,0.10877979319792541
