0_age_at_initial_pathologic_diagnosis,1_hsa.miR.10b.3p,1_hsa.miR.146b.3p,1_hsa.miR.155.5p,1_hsa.miR.15b.5p,1_hsa.miR.222.5p,1_hsa.miR.335.3p,2_ARNTL2.56938,2_BID.637,2_C10orf114.399726,2_CCDC19.25790,2_CDC6.990,2_COL8A1.1295,2_DEPDC1.55635,2_E2F7.144455,2_EIF2AK4.440275,2_ESX1.80712,2_FAM19A3.284467,2_FBXW4.6468,2_GPI.2821,2_GPR1.2825,2_HOXD11.3237,2_IFNGR2.3460,2_IKBIP.121457,2_ISL2.64843,2_KIF2C.11004,2_KLRC3.3823,2_LATS2.26524,2_LOC100132215.100132215,2_NTN4.59277,2_PCCA.5095,2_PCDHB1.29930,2_PODNL1.79883,2_RAD18.56852,2_RPAP3.79657,2_SERP2.387923,2_SLC30A7.148867,2_SMC4.10051,2_SNTB2.6645,2_TXN2.25828,2_UROS.7390,2_WEE1.7465,2_ZNF217.7764,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
