0_age_at_initial_pathologic_diagnosis,1_hsa.let.7e.5p,1_hsa.miR.10b.3p,1_hsa.miR.146b.3p,1_hsa.miR.148a.5p,1_hsa.miR.335.3p,1_hsa.miR.3677.3p,1_hsa.miR.9.5p,2_ARAP3.64411,2_B3GALNT2.148789,2_C20orf199.441951,2_CCNB1.891,2_CDR1.1038,2_CUEDC2.79004,2_DNAJC12.56521,2_DUSP10.11221,2_ELK1.2002,2_FAM114A1.92689,2_FAM149B1.317662,2_GPR1.2825,2_HILS1.373861,2_IQGAP3.128239,2_ISL2.64843,2_KLHL25.64410,2_MAPT.4137,2_MYOD1.4654,2_NCRNA00093.100188954,2_POLR3H.171568,2_PTGFRN.5738,2_RAD18.56852,2_SEMA4G.57715,2_SMC4.10051,2_STIL.6491,2_SULF2.55959,2_TACC3.10460,2_TDH.157739,2_TFRC.7037,2_TGIF1.7050,2_TMEM106C.79022,2_TMEM154.201799,2_TRAF5.7188,2_WEE1.7465,2_ZAK.51776,2_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
