0_ACRBP,0_C16orf3,0_C1orf110,0_CLEC2B,0_ETV7,0_LOC153910,0_OLFML1,0_RHOBTB1,0_SAMSN1,0_STMN1,0_VCAN,0_VPS13B,0_XPNPEP1,0_ZNF622
0,1,1,0,1,0,1,1,1,1,1,1,0,0
0,0,1,0,1,0,1,1,1,1,1,1,0,0
1,0,1,0,1,0,0,1,1,1,1,0,0,0
0,0,0,0,1,1,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,0,0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
