inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness,test_SKSurvCox_c-index,test_root_leanness
0.9341454423647853,0.20851441405707477,0.9540207948784364,0.20851441405707477,0.8208392183258667,0.20851441405707477
0.9327780839237018,0.21320071635561044,0.9500116744620778,0.21320071635561044,0.7783359795272639,0.21320071635561044
0.9376976283730426,0.21821789023599236,0.9407776203693572,0.21821789023599236,0.7974717520358396,0.21821789023599236
0.9381777574565953,0.22941573387056177,0.9396653213714785,0.22941573387056177,0.7969899425695443,0.22941573387056177
0.9266729879917857,0.24253562503633297,0.9358522674921155,0.24253562503633297,0.7574379114855231,0.24253562503633297
0.9280461244200228,0.25,0.9385719985434449,0.25,0.7743664046035253,0.25
0.9285029571756974,0.2581988897471611,0.927966966593184,0.2581988897471611,0.7488065942836241,0.2581988897471611
0.9271133211717838,0.2672612419124244,0.9232949784748411,0.2672612419124244,0.743460096357369,0.2672612419124244
0.9234045102513784,0.2773500981126146,0.9205628635697497,0.2773500981126146,0.7374208137272833,0.2773500981126146
0.9237888778418276,0.30151134457776363,0.9193399239829498,0.30151134457776363,0.6920132018688792,0.30151134457776363
0.9194228131831118,0.31622776601683794,0.9142673656961624,0.31622776601683794,0.6985272600302612,0.31622776601683794
0.9105111631165519,0.3333333333333333,0.9145898554040495,0.3333333333333333,0.7435104667209818,0.3333333333333333
0.9068814931105189,0.3535533905932738,0.9050680463525355,0.3535533905932738,0.7345052624578089,0.3535533905932738
0.9011063767192393,0.3779644730092272,0.8846705758154578,0.3779644730092272,0.7750403721598781,0.3779644730092272
0.8805860907704125,0.408248290463863,0.8708470589061861,0.408248290463863,0.7579646568906606,0.408248290463863
0.8698321615194259,0.4472135954999579,0.8651271910558632,0.4472135954999579,0.7346872199820789,0.4472135954999579
0.8687743494681501,0.5,0.8434066161746838,0.5,0.7484375,0.5
0.8236418157771083,0.5773502691896257,0.7961783001150365,0.5773502691896257,0.7754837667274939,0.5773502691896257
0.7802027017852602,0.7071067811865476,0.7726375085524004,0.7071067811865476,0.5139346435413246,0.7071067811865476
0.5,1.0,0.5,1.0,0.5,1.0
