gen,evals,gen_feats,explored,expression_subtype svm balanced accuracy_min,expression_subtype svm balanced accuracy_avg,expression_subtype svm balanced accuracy_max,expression_subtype svm balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
0,500,655,655,0.14285714285714285,0.6479843829509873,0.8683320381568695,0.16946977611047337,0.0196078431372549,0.0878346805204604,1.0,0.1535633848270015
1,509,899,915,0.14285714285714285,0.6598604756703562,0.8689995727763512,0.16572595224252146,0.017857142857142856,0.08576314527331712,1.0,0.10493296930323959
2,500,940,1152,0.14285714285714285,0.6808034642476446,0.8689995727763512,0.16493712891104298,0.017857142857142856,0.08585771865109512,1.0,0.10706050490595143
3,500,982,1413,0.14285714285714285,0.6958535574187652,0.8979617735008906,0.15686112285495768,0.015873015873015872,0.08491784421152082,1.0,0.1067269376561781
4,500,977,1635,0.14285714285714285,0.7061673357105409,0.8979617735008906,0.15357340464212857,0.015873015873015872,0.08490916349711114,1.0,0.10686541108489175
5,500,976,1847,0.14285714285714285,0.7232772733333132,0.8979617735008906,0.1463700471710603,0.015151515151515152,0.08128904785242724,1.0,0.10471322188695947
6,500,995,2076,0.14285714285714285,0.7320385097641934,0.9135497387503542,0.1464230828803327,0.014705882352941176,0.08120960462555786,1.0,0.1049669584336583
7,500,1049,2332,0.14285714285714285,0.7448293538859453,0.9158173124464993,0.14101118298964066,0.014084507042253521,0.0781255913204427,1.0,0.10232308354629192
8,500,1019,2539,0.14285714285714285,0.7495702511152529,0.9158173124464993,0.1416350129932464,0.014084507042253521,0.07826953286414894,1.0,0.1024055944452964
9,500,1072,2764,0.14285714285714285,0.7622996454478571,0.9200189931187683,0.13980312265249176,0.013157894736842105,0.07555051650874109,1.0,0.10243089158027203
10,500,1044,2973,0.14285714285714285,0.7690352741591728,0.9200189931187683,0.1373998132868705,0.013157894736842105,0.07394099237162712,1.0,0.10009971544247771
11,500,1019,3172,0.14285714285714285,0.7750601161792404,0.927533728616697,0.13739601048909483,0.013157894736842105,0.07315188409451408,1.0,0.10031172897873479
12,500,1053,3383,0.14285714285714285,0.7758650530214385,0.927533728616697,0.1379541417028216,0.013157894736842105,0.07389097184618917,1.0,0.10018205597730122
