gen,0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV
0,387,0,0
100,250,4,4
200,254,4,4
299,255,4,4
