gen,0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV
0,160,272,330
100,131,272,324
200,128,279,310
299,135,267,327
