0_ALPL,0_C15orf42,0_C2orf40,0_C6orf97,0_CYP7A1,0_DEPDC1B,0_DIRAS3,0_FBXO5,0_FOXC1,0_KRT14,0_MAPKSP1,0_NCF1B,0_PDE6H,0_PKHD1L1,0_PMAIP1,0_RHOJ,0_TBC1D9,0_WDR67
1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
