0_ABCB1,0_ANKRD30A,0_ANXA7,0_ASPM,0_C12orf48,0_C14orf145,0_C2orf40,0_C4orf12,0_CALCR,0_CISH,0_CKS1B,0_CLDN14,0_COG7,0_COL22A1,0_CPSF2,0_CRIP2,0_DLEU1,0_E2F7,0_ENPP1,0_ESR1,0_ESRRB,0_FAM72B,0_FAM96B,0_FOXC1,0_GADD45G,0_GBP7,0_GLUD1,0_GRB7,0_HSPB1,0_IGF1R,0_KIAA1024,0_LOC113230,0_LOC148696,0_LOC150622,0_LOC222699,0_MAGEB4,0_MAPT,0_MASTL,0_MLPH,0_MMP12,0_MRGPRX3,0_NOTCH2NL,0_NUDT6,0_PCDH1,0_PCDHGB5,0_PGR,0_PMAIP1,0_PRH2,0_PRICKLE4,0_RCOR2,0_RP1-177G6.2,0_RPE,0_SERPINB12,0_SF1,0_SFRP1,0_SFRS13B,0_SIAH2,0_SLC22A12,0_SLC23A3,0_SLC38A3,0_SPEF1,0_TCF19,0_THBS1,0_TMEM54,0_TMEM59L,0_TRIM29,0_UBE2Z,0_WDR67,0_ZBTB16,0_ZNF259
0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0
0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1
0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
