0_AGPAT9,0_C10orf79,0_C19orf26,0_C2orf88,0_C6orf223,0_CCDC109A,0_CCT3,0_GNG3,0_GPRC5B,0_HEY2,0_KIAA1609,0_MAPKBP1,0_NELL1,0_RAP1GAP,0_SLC22A11,0_SLC7A7,0_SNAR-E,0_SYNGR2,0_TMEM117,0_TMEM211,0_TSPAN7
1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0
1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0
1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
