0_ADRA1B,0_AMIGO3,0_ANKZF1,0_C1orf116,0_CASC3,0_CTSC,0_EXOC3L,0_FAM102B,0_FGF11,0_ITGA3,0_KITLG,0_LRRC61,0_LTA4H,0_ODZ3,0_OXSM,0_RGS5,0_SC5DL,0_SHISA6,0_SNRNP25,0_STC2,0_TMEM129,0_TSPAN5
1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
