0_BBS2,0_C14orf79,0_CASQ1,0_CD34,0_CDK18,0_CEACAM1,0_CLCC1,0_DMRT2,0_GPR116,0_GPR88,0_HCG4,0_LRRN4,0_NBEA,0_PIGV,0_RASD1,0_SHFM1,0_SOD3,0_TSPAN7,0_ZFP36L2,0_ZNF578
1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1
0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1
0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1
0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1
0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
