0_ATP6V1B1,0_GCC2,0_L3MBTL3,0_LIN54,0_MAOB,0_PDIA5,0_SLC25A10,0_SLC41A3,0_SPOCK2,0_SQSTM1,0_STC2,0_TCTN1,0_TEK,0_TNFRSF12A,0_TPK1
1,1,1,1,0,0,0,1,1,1,1,1,0,1,0
0,0,0,1,1,0,1,0,1,1,1,1,0,0,0
0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
