0_APBB2,0_CYB5A,0_FLOT2,0_GRPEL2,0_LYRM7,0_MDH1B,0_PARL,0_PDAP1,0_PLCD3,0_PLCG2,0_PLOD3,0_RNPEP,0_SLC1A5,0_SPOCK2,0_STC2,0_STK38,0_TBC1D1,0_TLR3,0_TMTC1,0_TTC21B,0_UBE2G2
1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
