inner_cv_RF4_bal_acc,inner_cv_root_leanness,train_RF4_bal_acc,train_root_leanness,test_RF4_bal_acc,test_root_leanness
0.011893264921290142,0.0,0.01317513407334704,0.0,0.02422941769470284,0.0
0.011890209308413084,0.0,0.009708272829932073,0.0,0.022882612795197783,0.0
0.011976597974427045,0.0,0.013401133298497212,0.0,0.022305811965268332,0.0
0.01217315361219228,0.0,0.01022408263663929,0.0,0.0282422332405386,0.0
0.012861243534840758,0.0,0.014017173116260351,0.0,0.02775095141517907,0.0
0.012867982987392857,0.0,0.010236166345430429,0.0,0.025983360090174074,0.0
0.012962525880499213,0.0,0.012464495350118917,0.0,0.023042301868008482,0.0
0.01448161306338479,0.0,0.008727774218360983,0.0,0.02815210658868855,0.0
0.015045650752551579,0.0,0.00929697350851761,0.0,0.02443138324652743,0.0
0.01589688348202386,0.0,0.012237963220639685,0.0,0.032031468424117006,0.0
0.018064965020979984,0.0,0.011895182570103217,0.0,0.03224071087157039,0.0
0.0196735193669689,0.0,0.01430191468242472,0.0,0.044012026550353286,0.0
0.022713909690224354,0.0,0.027944112304579192,0.0,0.020278510498810368,0.0
0.0,0.0,0.0,0.0,0.0,0.0
