
OPTIMIZING ON FOLD NUMBER 8
Number of workers = 80

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5790
Features active in total: 5790
Computing active features for outcome survival
Features selected for this outcome: 3105
Features active in total: 5877
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET_OS
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 45
ccRCC: 323
Assigning strata for outcome named survival of type survival
Counts:
censored 0: 130
censored 1: 262
deceased 0: 69
deceased 1: 68
Strata from each outcome has been integrated.
Counts:
ChRCC censored 0: 6
ChRCC censored 1: 38
ChRCC deceased 0: 5
ChRCC deceased 1: 5
PRCC T1 censored 0: 52
PRCC T1 censored 1: 44
PRCC T1 deceased 1: 7
PRCC T2 censored 0: 16
PRCC T2 censored 1: 20
PRCC T2 deceased 0: 7
PRCC T2 deceased 1 + PRCC T1 deceased 0: 6
ccRCC censored 0: 56
ccRCC censored 1: 160
ccRCC deceased 0: 53
ccRCC deceased 1: 54

RUNNING GENETIC ALGORITHM
Generations completed = 45
Generations completed = 93
Generations completed = 141
Generations completed = 191
Generations completed = 239
Generations completed = 289
Generations completed = 338
Generations completed = 386
Generations completed = 439
Generations completed = 491
   	     	         	        	                 root leanness                  	       survival SKSurv Cox model concordance index       	            type naive Bayes balanced accuracy           	                 root separation                 
   	     	         	        	------------------------------------------------	---------------------------------------------------------	---------------------------------------------------------	-------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max	std     	min     	avg     	max     	std             	min     	avg     	max     	std      	min	avg     	max     	std      
0  	500  	442      	442     	0.140028	0.257771	1  	0.166087	0.443065	0.713624	0.812226	0.0699725       	0.25    	0.79353 	0.91606 	0.141752 	0  	0.554949	0.612772	0.0977501
1  	512  	645      	653     	0.138675	0.268317	1  	0.131887	0.458427	0.723287	0.813189	0.0659721       	0.249226	0.796858	0.91627 	0.126329 	0  	0.567174	0.612772	0.0456835
2  	500  	708      	886     	0.138675	0.267201	1  	0.127302	0.5     	0.734707	0.823025	0.0624848       	0.249226	0.807537	0.921616	0.119083 	0  	0.571663	0.612772	0.0433451
3  	500  	747      	1125    	0.138675	0.279206	1  	0.12905 	0.486476	0.732597	0.823025	0.0637961       	0.249226	0.805784	0.921616	0.118289 	0  	0.571598	0.614397	0.0424369
4  	500  	758      	1336    	0.131306	0.285311	1  	0.127812	0.486476	0.732528	0.823025	0.063378        	0.25    	0.808686	0.921616	0.112117 	0  	0.572817	0.614397	0.0411428
5  	500  	771      	1528    	0.131306	0.294729	1  	0.132556	0.5     	0.730805	0.823025	0.0653428       	0.25    	0.804456	0.922143	0.114235 	0  	0.573007	0.614397	0.0419675
6  	500  	764      	1707    	0.131306	0.291211	1  	0.129118	0.5     	0.733188	0.824479	0.0636434       	0.25    	0.812105	0.925623	0.10706  	0  	0.576474	0.614397	0.039264 
7  	500  	758      	1873    	0.132453	0.295078	1  	0.127521	0.5     	0.738647	0.824479	0.0633999       	0.25    	0.812405	0.926042	0.105236 	0  	0.576519	0.617116	0.0392649
8  	500  	781      	2044    	0.132453	0.299171	1  	0.132642	0.5     	0.737967	0.824479	0.0654057       	0.25    	0.81071 	0.926042	0.11058  	0  	0.5776  	0.617116	0.0408172
9  	500  	790      	2205    	0.138675	0.296518	1  	0.136827	0.460763	0.742867	0.826213	0.0658518       	0.25    	0.81475 	0.926042	0.114516 	0  	0.579416	0.617116	0.0415854
10 	500  	811      	2339    	0.140028	0.29889 	1  	0.136113	0.460763	0.744481	0.826213	0.0638087       	0.25    	0.817021	0.9272  	0.115225 	0  	0.579362	0.617116	0.04233  
11 	500  	810      	2486    	0.140028	0.301775	1  	0.139774	0.460763	0.745868	0.826213	0.0648625       	0.25    	0.814142	0.9272  	0.118538 	0  	0.579626	0.617116	0.0433968
12 	500  	811      	2637    	0.138675	0.295359	1  	0.140398	0.460763	0.748852	0.826213	0.0646912       	0.25    	0.820568	0.9272  	0.11707  	0  	0.581628	0.617116	0.0436804
13 	500  	789      	2761    	0.138675	0.285017	1  	0.130733	0.460763	0.753267	0.828347	0.0615283       	0.25    	0.831265	0.928625	0.108919 	0  	0.58471 	0.617116	0.0424713
14 	500  	789      	2876    	0.138675	0.288586	1  	0.130908	0.460763	0.750532	0.828347	0.0614865       	0.25    	0.832997	0.928625	0.108281 	0  	0.586494	0.617116	0.0424626
15 	500  	814      	3000    	0.138675	0.294487	1  	0.133446	0.460763	0.750852	0.828347	0.0615396       	0.25    	0.829396	0.92966 	0.110533 	0  	0.585214	0.617116	0.0430759
