0_ANXA8L2,0_ARSG,0_ESR1,0_NUF2,0_OSR1,0_PRR15,0_PSD4,0_STC1,0_SYNM,0_UGT1A4
0,0,1,1,0,1,1,1,1,0
1,0,1,1,1,0,0,0,0,1
1,0,1,1,1,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
