0_CA9,0_CLDN8,0_DACT2,0_GGTLC2,0_KCNJ1,0_NAPSA,0_NDUFA4L2,0_NELL1,0_TEK,0_UPK1B
1,0,1,1,1,1,1,1,0,1
1,0,1,1,1,0,1,1,0,1
1,1,1,0,0,0,1,1,0,1
1,1,0,0,0,0,1,1,0,1
1,1,0,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
