0_ACSM2A,0_CLDN8,0_CLRN3,0_DACT2,0_DYNC2LI1,0_NDUFA4L2,0_PDZK1IP1,0_PHKA2,0_PLXNB1,0_RANBP3L,0_TEK,0_UPK1B
1,1,1,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,0,1,0,0
1,1,1,0,0,1,1,0,0,1,0,1
1,1,1,0,0,1,0,0,0,1,0,1
1,1,0,0,0,1,0,0,0,1,0,1
1,1,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
