0_BAIAP2L2,0_CA9,0_CLDN8,0_DACT2,0_GGTLC1,0_NDUFA4L2,0_NELL1,0_NTN1,0_TCTN1,0_TEK,0_TRIOBP,0_UPK1B
1,1,1,1,0,1,1,1,1,0,1,0
0,1,1,1,1,1,1,1,0,0,1,0
0,0,1,1,1,1,1,1,0,0,1,0
0,0,1,1,1,1,0,1,0,0,1,0
0,0,1,1,0,1,0,1,0,0,1,0
0,0,1,1,0,1,0,0,0,0,1,0
0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
