gen,evals,gen_feats,explored,type naive Bayes adjusted balanced accuracy_min,type naive Bayes adjusted balanced accuracy_avg,type naive Bayes adjusted balanced accuracy_max,type naive Bayes adjusted balanced accuracy_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std
0,500,395,395,0.19629640346054802,0.7793098355229141,0.8594630369266483,0.1380772740934812,0.14002800840280097,0.2513161557546832,1.0,0.164786152628089
1,512,601,609,0.19629640346054802,0.7696532476065844,0.8594781703827171,0.13654410347453882,0.1270001270001905,0.2810984089875437,1.0,0.13343963032092446
2,500,648,809,0.2,0.76414507696891,0.8594781703827171,0.14289604309934517,0.1270001270001905,0.2982087115851803,1.0,0.14029271292398635
3,500,684,1016,0.2,0.7787952710654092,0.8595165584814095,0.12574489397529362,0.1270001270001905,0.29693456152759706,1.0,0.13929724953089068
4,500,692,1200,0.2,0.7889637147329451,0.8596507367930568,0.11432282442133321,0.12803687993289598,0.2966761820590225,1.0,0.1377253916702472
5,500,721,1398,0.2,0.7964573410865896,0.8596507367930568,0.1078325939335025,0.12803687993289598,0.2955821113129338,1.0,0.13766786610821652
6,500,756,1610,0.2,0.8009336667125571,0.8596507367930568,0.10410271711509352,0.12803687993289598,0.29555961157319793,1.0,0.13985763716983968
7,500,751,1788,0.2,0.8033770656614843,0.8596507367930568,0.10054793525440339,0.12803687993289598,0.3006543376322039,1.0,0.1392282634092394
8,500,792,1963,0.2,0.8055077140101674,0.8596507367930568,0.09842676875897387,0.1336306209562122,0.3037057965214765,1.0,0.13745783147191448
9,500,760,2116,0.2,0.8049758910682413,0.8605152627364803,0.09765334349614879,0.1414213562373095,0.3097971107653509,1.0,0.13869359335493542
10,500,793,2289,0.2,0.8084549462574249,0.8605152627364803,0.09286604850605319,0.1414213562373095,0.30867338594083604,1.0,0.13940730751912014
11,500,795,2436,0.2,0.8131598552739167,0.8605152627364803,0.08828621156721235,0.1414213562373095,0.3049990942115125,1.0,0.13845901042093461
12,500,773,2569,0.2,0.8153415453568255,0.8605152627364803,0.08749616253417049,0.14002800840280097,0.3040653452228972,1.0,0.13791917982533503
13,500,817,2723,0.2,0.8151879965751752,0.8605152627364803,0.08865834562795888,0.14002800840280097,0.3048916747322908,1.0,0.14008188303227528
14,500,787,2848,0.2,0.8173853749853252,0.8605152627364803,0.08543226671549688,0.1386750490563073,0.3045264857299296,1.0,0.1398931582057154
15,500,816,2986,0.2,0.8194256669093095,0.8605152627364803,0.08374320170632588,0.1386750490563073,0.3018671566150734,1.0,0.14011541142783565
16,500,844,3107,0.2,0.8204242743254717,0.8611441444994123,0.08280252169457292,0.1386750490563073,0.30013023030524266,1.0,0.14116696078040455
17,500,802,3223,0.2,0.8200761670979143,0.8629883760411038,0.08132402490429538,0.1386750490563073,0.3056607840088362,1.0,0.14181448592489948
