0_AKR1C1,0_C10orf99,0_C14orf139,0_C15orf59,0_CATSPER1,0_CD274,0_CPAMD8,0_FAM64A,0_FPR3,0_IL10RB,0_KIFC1,0_LAMB4,0_NTRK2,0_SGCD,0_TNFAIP8L2,0_TP63,0_USO1
1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0
1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
