0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.let.7b.3p,1_hsa.miR.101.3p,1_hsa.miR.101.5p,1_hsa.miR.107,1_hsa.miR.10b.3p,1_hsa.miR.10b.5p,1_hsa.miR.1197,1_hsa.miR.1248,1_hsa.miR.1251.5p,1_hsa.miR.1293,1_hsa.miR.130b.3p,1_hsa.miR.132.5p,1_hsa.miR.135b.5p,1_hsa.miR.138.1.3p,1_hsa.miR.138.5p,1_hsa.miR.139.3p,1_hsa.miR.143.3p,1_hsa.miR.143.5p,1_hsa.miR.144.3p,1_hsa.miR.144.5p,1_hsa.miR.145.3p,1_hsa.miR.1468.5p,1_hsa.miR.146b.5p,1_hsa.miR.149.5p,1_hsa.miR.151a.3p,1_hsa.miR.182.5p,1_hsa.miR.183.5p,1_hsa.miR.191.5p,1_hsa.miR.193b.3p,1_hsa.miR.194.3p,1_hsa.miR.194.5p,1_hsa.miR.202.5p,1_hsa.miR.204.3p,1_hsa.miR.204.5p,1_hsa.miR.21.3p,1_hsa.miR.21.5p,1_hsa.miR.221.3p,1_hsa.miR.222.3p,1_hsa.miR.223.3p,1_hsa.miR.2355.5p,1_hsa.miR.23b.3p,1_hsa.miR.27b.3p,1_hsa.miR.296.3p,1_hsa.miR.296.5p,1_hsa.miR.29a.5p,1_hsa.miR.29b.3p,1_hsa.miR.301b,1_hsa.miR.30c.1.3p,1_hsa.miR.30e.3p,1_hsa.miR.3130.5p,1_hsa.miR.31.3p,1_hsa.miR.31.5p,1_hsa.miR.335.5p,1_hsa.miR.339.5p,1_hsa.miR.34b.5p,1_hsa.miR.34c.3p,1_hsa.miR.34c.5p,1_hsa.miR.362.3p,1_hsa.miR.3648,1_hsa.miR.365a.3p,1_hsa.miR.365b.3p,1_hsa.miR.376a.3p,1_hsa.miR.376a.5p,1_hsa.miR.376b.3p,1_hsa.miR.376c.3p,1_hsa.miR.377.3p,1_hsa.miR.379.3p,1_hsa.miR.425.3p,1_hsa.miR.4326,1_hsa.miR.4461,1_hsa.miR.451a,1_hsa.miR.4662a.5p,1_hsa.miR.4677.3p,1_hsa.miR.485.3p,1_hsa.miR.485.5p,1_hsa.miR.486.5p,1_hsa.miR.494.3p,1_hsa.miR.502.3p,1_hsa.miR.504.5p,1_hsa.miR.505.5p,1_hsa.miR.539.3p,1_hsa.miR.543,1_hsa.miR.576.5p,1_hsa.miR.590.3p,1_hsa.miR.616.5p,1_hsa.miR.625.3p,1_hsa.miR.6503.5p,1_hsa.miR.656.3p,1_hsa.miR.671.5p,1_hsa.miR.6718.5p,1_hsa.miR.6720.3p,1_hsa.miR.676.3p,1_hsa.miR.7.5p,1_hsa.miR.7704,1_hsa.miR.770.5p,1_hsa.miR.92b.3p,1_hsa.miR.96.5p,1_hsa.miR.99b.3p,1_hsa.miR.99b.5p,1_hsa.miR.302b.3p,1_hsa.miR.372.3p,1_hsa.miR.526b.5p
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
