0_race_WHITE,1_ADCY2.108,1_AIG1.51390,1_AMDHD1.144193,1_ANKRD33.341405,1_APOA1BP.128240,1_ARHGDIB.397,1_ARHGEF35.445328,1_ARL5C.390790,1_C11orf17.56672,1_C18orf19.125228,1_C9orf140.89958,1_CCL23.6368,1_CCPG1.9236,1_CDC25C.995,1_CXorf59.286464,1_DHRS12.79758,1_EFHC1.114327,1_FAM153C.653316,1_GANC.2595,1_GPBP1L1.60313,1_GRP.2922,1_KCNE1.3753,1_KIAA0040.9674,1_KIAA0146.23514,1_KLHL12.59349,1_LOC729678.729678,1_LTB.4050,1_MCHR2.84539,1_MRGPRF.116535,1_MRPS18C.51023,1_NKAP.79576,1_NMI.9111,1_NUDT13.25961,1_PC.5091,1_PFKFB2.5208,1_PGCP.10404,1_POLD1.5424,1_PYHIN1.149628,1_RPS15AP10.728963,1_RTP4.64108,1_SFTA2.389376,1_SLC39A2.29986,1_SULF1.23213,1_TCF3.6929,1_TERT.7015,1_TMEM63B.55362,1_TMEM79.84283,1_TNIP2.79155,1_TP53INP1.94241,1_TPCN2.219931,1_VAMP8.8673,1_ZNF679.168417,1_ZNF703.80139,1_ZNF883.169834
1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1
1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1
1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1
1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
