0_race_WHITE,1_ADIPOR1.51094,1_ALDH1A1.216,1_C1R.715,1_CBFB.865,1_CCDC122.160857,1_CDKN2AIPNL.91368,1_CELA3B.23436,1_CHRAC1.54108,1_DHH.50846,1_DHRS12.79758,1_FAM117A.81558,1_FAM164A.51101,1_FBXO33.254170,1_FBXO4.26272,1_GALNT12.79695,1_GPC2.221914,1_HAX1.10456,1_IDO2.169355,1_KDM1B.221656,1_LIAS.11019,1_LOC121838.121838,1_MCHR2.84539,1_MFAP2.4237,1_MORC4.79710,1_MRPL13.28998,1_MYCL1.4610,1_NKAP.79576,1_NUDT11.55190,1_NUDT12.83594,1_OLIG3.167826,1_PLAC8.51316,1_PLEKHG4.25894,1_PRR13.54458,1_PTPN20B.26095,1_RASL10B.91608,1_RIPPLY2.134701,1_SH2D1A.4068,1_SMARCC1.6599,1_SP140L.93349,1_SRPK1.6732,1_SYNGR2.9144,1_TIAL1.7073,1_TIFAB.497189,1_TMEM63B.55362,1_TMEM65.157378,1_TRIP4.9325,1_TSPAN6.7105,1_USP24.23358
0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
