0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.let.7a.2.3p,1_hsa.let.7a.3p,1_hsa.miR.103a.2.5p,1_hsa.miR.105.5p,1_hsa.miR.125b.1.3p,1_hsa.miR.1306.3p,1_hsa.miR.1306.5p,1_hsa.miR.130b.3p,1_hsa.miR.130b.5p,1_hsa.miR.1343.3p,1_hsa.miR.135a.3p,1_hsa.miR.138.1.3p,1_hsa.miR.138.5p,1_hsa.miR.151a.3p,1_hsa.miR.151a.5p,1_hsa.miR.153.5p,1_hsa.miR.15b.3p,1_hsa.miR.16.2.3p,1_hsa.miR.17.3p,1_hsa.miR.17.5p,1_hsa.miR.181b.3p,1_hsa.miR.186.5p,1_hsa.miR.18a.3p,1_hsa.miR.190b,1_hsa.miR.196b.3p,1_hsa.miR.197.3p,1_hsa.miR.19a.3p,1_hsa.miR.19b.3p,1_hsa.miR.206,1_hsa.miR.20a.3p,1_hsa.miR.20a.5p,1_hsa.miR.21.3p,1_hsa.miR.214.3p,1_hsa.miR.219a.1.3p,1_hsa.miR.24.3p,1_hsa.miR.29c.3p,1_hsa.miR.301a.3p,1_hsa.miR.301b,1_hsa.miR.30c.2.3p,1_hsa.miR.30d.3p,1_hsa.miR.3170,1_hsa.miR.3200.3p,1_hsa.miR.324.3p,1_hsa.miR.33a.3p,1_hsa.miR.33a.5p,1_hsa.miR.345.5p,1_hsa.miR.3605.3p,1_hsa.miR.3610,1_hsa.miR.361.3p,1_hsa.miR.361.5p,1_hsa.miR.3677.3p,1_hsa.miR.3678.5p,1_hsa.miR.3681.5p,1_hsa.miR.3687,1_hsa.miR.374a.3p,1_hsa.miR.374b.3p,1_hsa.miR.3917,1_hsa.miR.3922.3p,1_hsa.miR.421,1_hsa.miR.455.3p,1_hsa.miR.455.5p,1_hsa.miR.4661.5p,1_hsa.miR.503.3p,1_hsa.miR.548f.3p,1_hsa.miR.548v,1_hsa.miR.551a,1_hsa.miR.551b.3p,1_hsa.miR.589.3p,1_hsa.miR.744.3p,1_hsa.miR.766.3p,1_hsa.miR.767.3p,1_hsa.miR.767.5p,1_hsa.miR.7706,1_hsa.miR.873.5p,1_hsa.miR.887.3p,1_hsa.miR.92a.1.5p,1_hsa.miR.92a.3p,1_hsa.miR.940,1_hsa.miR.512.3p,1_hsa.miR.518d.3p,1_hsa.miR.518f.3p,1_hsa.miR.520b,1_hsa.miR.520c.3p,1_hsa.miR.520e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
