0_ANK3,0_C1orf186,0_CCT3,0_DISP2,0_ERG,0_FRMD4B,0_GRLF1,0_KIF4A,0_LAPTM5,0_LOC282997,0_NHS,0_NNT,0_NPBWR1,0_RIMS3,0_RPS4X,0_SFTA3,0_SLC25A30,0_SLC39A14,0_TRIOBP,0_TSEN2,0_TSPAN5,0_VEGFA
0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0
0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0
0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0
0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0
0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0
0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
