0_ARID5B,0_C17orf85,0_C6orf118,0_C6orf35,0_CYP2J2,0_ERG,0_FAM106C,0_FKBP8,0_GALNT11,0_ISPD,0_LOC100131551,0_MS4A2,0_MST1P9,0_OPN4,0_PLXNB1,0_PSORS1C2,0_TAC1,0_TLE4,0_TMEM91,0_TSPAN5,0_ZMYM2,0_ZNF534
0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1
0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1
1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
