0_AQP2,0_C5orf32,0_C7orf68,0_CMBL,0_COLQ,0_CRIP3,0_CYP17A1,0_DERL3,0_ENPP3,0_GGTLC1,0_GPAM,0_GPR4,0_HLA-J,0_LOC283070,0_NAP1L2,0_PODXL,0_SCGB2A2,0_SMG5,0_SPAG5,0_UQCRHL
1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0
1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0
1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0
0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
