0_ACOT12,0_C10orf131,0_C1orf186,0_CCDC102B,0_CSPG4,0_CYP2J2,0_CYTSA,0_ELN,0_GUSBP3,0_HIST1H3C,0_KIAA1407,0_KLF9,0_LOC202781,0_MGAT4A,0_PCDH1,0_SAP30,0_SNX33,0_UBE2N,0_XIRP1,0_ZNF662,0_ZP4
0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1
0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1
0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0
0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0
0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
