0_AGPAT9,0_C1orf186,0_CCT3,0_CD244,0_CLDN23,0_CRP,0_ENPP3,0_FAM18A,0_FLT1,0_FTSJ1,0_KCNJ1,0_MAP4,0_MYCT1,0_SFXN5,0_SSX3,0_TUBA3E,0_WNT4,0_WNT8B
1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1
1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0
1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0
1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
