0_ACOT8,0_C12orf62,0_C1orf186,0_COX5A,0_CPE,0_CYBA,0_FADS6,0_FAM70B,0_HDAC5,0_HOXA4,0_HSPH1,0_MFSD2B,0_PAQR7,0_PDIA4,0_PPP1R9A,0_TP63,0_TRPM8,0_TSPAN5,0_WDR55
1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1
1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1
1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1
0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1
0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1
0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
