0_ajcc_pathologic_tumor_stage_Stage IV,1_ACTC1.70,1_ACTN2.88,1_ADAMTS13.11093,1_AGBL2.79841,1_ALS2CR11.151254,1_ANO4.121601,1_ATAD2.29028,1_BARX1.56033,1_C12orf36.283422,1_C15orf52.388115,1_C16orf59.80178,1_C20orf54.113278,1_C4orf49.84709,1_C8orf47.203111,1_CD9.928,1_CDC25B.994,1_CLEC2B.9976,1_CLNK.116449,1_CNNM2.54805,1_COL11A2.1302,1_COL5A1.1289,1_CPA4.51200,1_CTSK.1513,1_DBC1.1620,1_DGCR8.54487,1_DPYSL5.56896,1_FBXW10.10517,1_GAD1.2571,1_GRIN3B.116444,1_GTF2E2.2961,1_HS6ST2.90161,1_IL20RB.53833,1_INHBE.83729,1_ITIH1.3697,1_KCNE1L.23630,1_KIF1A.547,1_LCTL.197021,1_LOC100132288.100132288,1_LOC100133331.100133331,1_LOC441294.441294,1_LRRC70.100130733,1_MADCAM1.8174,1_MAGEH1.28986,1_MMP1.4312,1_MT2A.4502,1_MUC5B.727897,1_MUM1L1.139221,1_MYL3.4634,1_NBEA.26960,1_NDUFB6.4712,1_NFATC3.4775,1_PAIP2B.400961,1_PCDH19.57526,1_PCDHA10.56139,1_PCDHA12.56137,1_PGLYRP2.114770,1_POLR1D.51082,1_POU2F1.5451,1_PPAN.P2RY11.692312,1_PSENEN.55851,1_PSMC4.5704,1_RARB.5915,1_RBM34.23029,1_REG1B.5968,1_RINT1.60561,1_RP1.6101,1_RUFY4.285180,1_SDC4P.376844,1_SLCO2A1.6578,1_SLITRK2.84631,1_SP7.121340,1_STON1.GTF2A1L.286749,1_SYT8.90019,1_TM6SF2.53345,1_TMED6.146456,1_TMEM200C.645369,1_TMEM67.91147,1_TULP3.7289,1_UPK1A.11045,1_WIT1.51352,1_YPEL2.388403,1_ZFHX4.79776,1_ZNF155.7711,1_ZNF483.158399,1_ZNF487.642819
0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0
0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0
0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
