0_ajcc_pathologic_tumor_stage_Stage IV,1_AKAP6.9472,1_ALDH9A1.223,1_ARSK.153642,1_BARX1.56033,1_BPHL.670,1_C1orf92.149499,1_C21orf34.388815,1_C4orf26.152816,1_CDH22.64405,1_CH25H.9023,1_CLDN6.9074,1_CYP2J2.1573,1_CYP3A7.1551,1_DGAT2.84649,1_EPM2A.7957,1_ESD.2098,1_FOXI2.399823,1_FOXJ1.2302,1_GDA.9615,1_GRAMD3.65983,1_HOXA3.3200,1_HTR3A.3359,1_IFITM3.10410,1_IL11.3589,1_IL20RA.53832,1_IL4R.3566,1_KRT19.3880,1_LOC100128977.100128977,1_LSM3.27258,1_LTF.4057,1_MEP1A.4224,1_MUM1L1.139221,1_NANS.54187,1_NAP1L6.645996,1_NEDD4L.23327,1_NFKBIA.4792,1_OTOF.9381,1_PCDHA12.56137,1_PGK2.5232,1_PLA2G2F.64600,1_PPEF1.5475,1_PRRT3.285368,1_RCAN3.11123,1_RHOJ.57381,1_RRM2.6241,1_SAA1.6288,1_SLC22A8.9376,1_SLC29A3.55315,1_SPAG5.10615,1_STON1.GTF2A1L.286749,1_TM6SF2.53345,1_TRMT6.51605,1_TSPAN10.83882,1_TUBB2B.347733,1_USP2.9099,1_WAC.51322,1_XK.7504,1_ZFP3.124961,1_ZNF253.56242,1_ZNF512B.57473,1_ZNF79.7633
1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0
1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0
1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
