gen,evals,gen_feats,explored,root separation_min,root separation_avg,root separation_max,root separation_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
0,500,458,458,0.0,0.5831562190836832,0.6500307215535399,0.09587253664941214,0.14002800840280097,0.250547144018703,1.0,0.15865489001348335
1,536,694,697,0.0,0.5923989619373008,0.659872170341506,0.05692728890993537,0.12803687993289598,0.27721593586882637,1.0,0.13611543213750868
2,548,695,886,0.0,0.598674841764725,0.659872170341506,0.05688962467882643,0.12803687993289598,0.2878134419950079,1.0,0.14492299460547114
3,569,766,1121,0.0,0.6062473791341643,0.659872170341506,0.05124828582773076,0.12803687993289598,0.2879790861977602,1.0,0.14107071138444552
4,568,786,1326,0.0,0.6104273132879122,0.659872170341506,0.04832300500238096,0.1386750490563073,0.2941433505925358,1.0,0.1351676239899509
5,588,816,1541,0.0,0.6118537346412972,0.659872170341506,0.04661973006587738,0.14002800840280097,0.30717113318504663,1.0,0.13316237055967367
6,580,809,1730,0.0,0.6152058517283516,0.659872170341506,0.047051500971866396,0.14285714285714285,0.3091423707184122,1.0,0.13605003728722648
7,586,796,1887,0.0,0.6187065251452857,0.659872170341506,0.04569401307300026,0.1414213562373095,0.31234255559892926,1.0,0.1355776630445832
8,587,858,2063,0.0,0.6195599899926578,0.659872170341506,0.04659849783791627,0.1414213562373095,0.3234463693225375,1.0,0.13535524324587705
9,590,836,2222,0.0,0.6218610257834413,0.659872170341506,0.04671456797921727,0.1414213562373095,0.3267181150374778,1.0,0.13687710472916853
10,583,838,2377,0.0,0.6261026749043617,0.659872170341506,0.0454303266295297,0.14744195615489714,0.32333989429966276,1.0,0.1345308414002352
11,603,858,2522,0.0,0.6247718867644868,0.659872170341506,0.04674248213239364,0.15811388300841897,0.3431186237297342,1.0,0.13156028269263012
12,618,839,2663,0.0,0.6263372933861963,0.659872170341506,0.04720919015935117,0.14744195615489714,0.34923855722973324,1.0,0.13145139487648735
13,601,832,2793,0.0,0.6268298533514378,0.660820698973106,0.047861225505854574,0.18257418583505536,0.36097171789444804,1.0,0.1299304612646355
14,605,829,2904,0.0,0.6266299607232038,0.660820698973106,0.04865527212799964,0.1796053020267749,0.37607407814394095,1.0,0.1273728493954911
15,598,832,3038,0.0,0.6294252817055936,0.660820698973106,0.047281964375925224,0.14285714285714285,0.3763685635540142,1.0,0.12634796901882403
16,610,852,3167,0.0,0.6305186521701455,0.6619308137418435,0.04714453724195992,0.14002800840280097,0.38500835593468935,1.0,0.12056833007685265
17,637,811,3268,0.0,0.6288020891221456,0.6619308137418435,0.04971527972502856,0.17149858514250885,0.3958822269947872,1.0,0.12064087860722489
18,609,804,3368,0.0,0.6296359473473732,0.6619308137418435,0.04867903767324184,0.17149858514250885,0.40799239529022907,1.0,0.1149840609084572
19,632,810,3469,0.0,0.6284904563316388,0.6619308137418435,0.05108309828903355,0.15075567228888181,0.41628443729314824,1.0,0.1168688571310547
20,624,807,3577,0.0,0.6269209128185022,0.6619308137418435,0.05198948171286186,0.16666666666666666,0.42647686510672145,1.0,0.11575028955012012
21,604,783,3667,0.0,0.6269274150943106,0.6619308137418435,0.052521632456290684,0.16666666666666666,0.4328292825054962,1.0,0.11486486435133064
22,617,796,3759,0.0,0.6288350147822986,0.6619308137418435,0.05167069361781901,0.16666666666666666,0.42921796225342007,1.0,0.11419223383616928
23,625,800,3854,0.0,0.629098671313139,0.6619308137418435,0.05209215454266268,0.17149858514250885,0.4318720925703053,1.0,0.1138287112546571
24,620,795,3930,0.0,0.6286010505994796,0.6619308137418435,0.053145168164929785,0.14433756729740643,0.43551007083944904,1.0,0.11495876369844502
25,611,818,4013,0.0,0.6297843207502833,0.6619308137418435,0.05272523037034734,0.14586499149789456,0.43920298073564634,1.0,0.11386123649739693
26,623,810,4081,0.0,0.6317997413821201,0.6625029389495287,0.05134479082983142,0.14586499149789456,0.4364892231206604,1.0,0.11302178507488471
27,630,816,4157,0.0,0.6297127160417689,0.6625029389495287,0.05300506741852244,0.14586499149789456,0.44301714065776493,1.0,0.11668767891785357
28,614,819,4238,0.0,0.632373886950623,0.6625029389495287,0.05087156988534344,0.14744195615489714,0.4407696232520791,1.0,0.11076939926030205
