0_ADCY2,0_BAK1,0_CDKN2C,0_INTS8,0_KLF5,0_LRCH2,0_NCSTN,0_NTRK3,0_PCDHGA1,0_PCDHGA12,0_PLCL1,0_PSMC5,0_PYCR1,0_RAB34,0_SOCS6,0_SSR1,0_TCERG1,0_TRIM5,0_TTC17,0_UPK3B,0_USP2,0_ZNF280C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1
1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
