0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.1269a,1_hsa.miR.1291,1_hsa.miR.296.5p,1_hsa.miR.590.3p,1_hsa.miR.590.5p,2_AMY2A.279,2_BARHL1.56751,2_BARX1.56033,2_BBOX1.8424,2_BCS1L.617,2_C16orf58.64755,2_C3orf31.132001,2_C9orf71.169693,2_CABLES2.81928,2_CCNJ.54619,2_CDKN2C.1031,2_CNTD1.124817,2_CTAGE1.64693,2_DHRS12.79758,2_F2RL1.2150,2_FCHSD1.89848,2_GAPDHS.26330,2_HIBCH.26275,2_HIST1H3B.8358,2_HOXA2.3199,2_HOXA3.3200,2_ILDR1.286676,2_LOC285359.285359,2_LOC339240.339240,2_MAPKAPK5.8550,2_NOL7.51406,2_OLIG3.167826,2_OPCML.4978,2_PDZRN4.29951,2_PRKAR2B.5577,2_PRSS8.5652,2_RAX2.84839,2_SNORA67.26781,2_SORBS2.8470,2_SPC25.57405,2_STON1.GTF2A1L.286749,2_SYNPO2.171024,2_TMBIM1.64114,2_TTLL10.254173,2_UTP14A.10813,2_ZIC4.84107,2_ZNF613.79898,2_ZNF695.57116,2_ZNF746.155061,2_ZNF777.27153,2_ZNF805.390980
0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1
0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1
0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
