inner_cv_SKSurvCox_c-index,inner_cv_root_leanness,train_SKSurvCox_c-index,train_root_leanness,test_SKSurvCox_c-index,test_root_leanness
0.9245666993227634,0.22941573387056177,0.9191251542468961,0.22941573387056177,0.6195232774842585,0.22941573387056177
0.9218253346809426,0.23570226039551584,0.9213458620769529,0.23570226039551584,0.5931166489425568,0.23570226039551584
0.9218265795287269,0.24253562503633297,0.9211517570985158,0.24253562503633297,0.5884215107802611,0.24253562503633297
0.9169597992239444,0.25,0.9245108057057664,0.25,0.6347483319325569,0.25
0.9087469698089805,0.2581988897471611,0.9176065495256851,0.2581988897471611,0.6657525465247427,0.2581988897471611
0.907854248900801,0.2672612419124244,0.9190627987828337,0.2672612419124244,0.6657525465247427,0.2672612419124244
0.9157553318064078,0.2773500981126146,0.914417774559475,0.2773500981126146,0.6566264715212181,0.2773500981126146
0.8950096657370074,0.28867513459481287,0.9052175494274868,0.28867513459481287,0.6660723753976671,0.28867513459481287
0.8974734950599993,0.30151134457776363,0.909528744390573,0.30151134457776363,0.6484145436780777,0.30151134457776363
0.8905562453142183,0.31622776601683794,0.9038505906550078,0.31622776601683794,0.6745691940615058,0.31622776601683794
0.8697465958677367,0.3333333333333333,0.8969552356727448,0.3333333333333333,0.6578092276116277,0.3333333333333333
0.8694037978772187,0.3535533905932738,0.8903142208667107,0.3535533905932738,0.6643176696712619,0.3535533905932738
0.8421919508401646,0.3779644730092272,0.8779002061617517,0.3779644730092272,0.6627452820800463,0.3779644730092272
0.8301020961345199,0.408248290463863,0.8567953520554557,0.408248290463863,0.6643590933191941,0.408248290463863
0.8196746422727053,0.4472135954999579,0.8371070259223146,0.4472135954999579,0.6253068683505826,0.4472135954999579
0.7766754251370942,0.5,0.8062579122824906,0.5,0.6579755128295502,0.5
0.7177218343800577,0.5773502691896257,0.7496234580909712,0.5773502691896257,0.6878175666149725,0.5773502691896257
0.6675715762264489,0.7071067811865476,0.6685624868682049,0.7071067811865476,0.6632088414634146,0.7071067811865476
0.5,1.0,0.5,1.0,0.5,1.0
