0_age_at_initial_pathologic_diagnosis,1_ABI1.10006,1_ADCY3.109,1_C11orf2.738,1_C14orf72.145200,1_C20orf11.54994,1_C9orf110.100128385,1_C9orf44.158314,1_CALN1.83698,1_CCDC129.223075,1_CCDC46.201134,1_CD101.9398,1_CMYA5.202333,1_COL8A1.1295,1_CRTAC1.55118,1_CUEDC2.79004,1_DCDC2.51473,1_DYNLT3.6990,1_E2F7.144455,1_EEF1D.1936,1_EMILIN1.11117,1_EVC2.132884,1_FAM65C.140876,1_GJC1.10052,1_GPR1.2825,1_GPR156.165829,1_GPR3.2827,1_HOXA6.3203,1_HTR1D.3352,1_IGFBP2.3485,1_IQGAP2.10788,1_ISL2.64843,1_KIF14.9928,1_KLRC3.3823,1_KNTC1.9735,1_LCTL.197021,1_LOC145837.145837,1_LOC339674.339674,1_MAP1LC3C.440738,1_MCM6.4175,1_MPDU1.9526,1_MPZL3.196264,1_MRPL45.84311,1_NCRNA00219.114915,1_NDRG2.57447,1_NDST4.64579,1_NELL2.4753,1_NPAS2.4862,1_NPNT.255743,1_ODF2.4957,1_PTGFRN.5738,1_RAB27A.5873,1_RAD18.56852,1_RWDD1.51389,1_SACM1L.22908,1_SCD5.79966,1_SERPINA5.5104,1_SERPINE1.5054,1_SERPINF1.5176,1_SHD.56961,1_SHOX2.6474,1_SLC4A3.6508,1_SMS.6611,1_SSX2IP.117178,1_STAT6.6778,1_SUFU.51684,1_SULF2.55959,1_SWAP70.23075,1_TIAL1.7073,1_TIMP1.7076,1_TMTC1.83857,1_TNFRSF11B.4982,1_TPX2.22974,1_TTC22.55001,1_VARS.7407,1_VPS28.51160,1_VSIG10L.147645,1_WEE1.7465,1_WISP1.8840,1_ZAK.51776,1_ZNF648.127665,1_ZNF74.7625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
