0_age_at_initial_pathologic_diagnosis,1_ANXA1.301,1_ARMC9.80210,1_ART3.419,1_B3GALNT2.148789,1_BICC1.80114,1_C11orf73.51501,1_C17orf59.54785,1_C17orf96.100170841,1_C18orf10.25941,1_C1GALT1C1.29071,1_C1orf187.374946,1_CCDC8.83987,1_CCNB1.891,1_CD101.9398,1_CDHR1.92211,1_CDKN2BAS.100048912,1_CEACAM1.634,1_CENPL.91687,1_CUTC.51076,1_CXCL10.3627,1_EEPD1.80820,1_EFHB.151651,1_EFNB1.1947,1_FAM22A.728118,1_G6PC.2538,1_GALNT13.114805,1_GPR139.124274,1_GPR3.2827,1_HILS1.373861,1_HIST1H2BJ.8970,1_HJURP.55355,1_HOXC9.3225,1_HOXD4.3233,1_IGF2BP2.10644,1_KIAA0101.9768,1_KLK11.11012,1_LARP4.113251,1_LOC284276.284276,1_LRRC27.80313,1_LRRK2.120892,1_MACC1.346389,1_MFAP2.4237,1_MIR155HG.114614,1_MMS19.64210,1_MORN4.118812,1_MXI1.4601,1_MYL2.4633,1_NIPAL2.79815,1_NR2F2.7026,1_NTN4.59277,1_PCDH11X.27328,1_PDLIM4.8572,1_PDPN.10630,1_PEX5.5830,1_PHTF1.10745,1_PLAT.5327,1_RAD18.56852,1_RASGEF1C.255426,1_RFXAP.5994,1_RPL17.6139,1_SAMD11.148398,1_SCN11A.11280,1_SEL1L3.23231,1_SGOL1.151648,1_SGOL2.151246,1_SLC30A7.148867,1_SLC4A3.6508,1_SMS.6611,1_STX3.6809,1_SULF2.55959,1_TAGLN2.8407,1_TBC1D10A.83874,1_TEAD3.7005,1_TEF.7008,1_TFDP1.7027,1_THRA.7067,1_TIMP1.7076,1_TMBIM1.64114,1_TRIM8.81603,1_TUBGCP2.10844,1_UPF3A.65110,1_UROS.7390,1_UTP15.84135,1_VAV3.10451,1_WEE1.7465,1_ZDHHC18.84243,1_ZNF347.84671,1_ZNF808.388558
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
