0_age_at_initial_pathologic_diagnosis,1_ACRBP.84519,1_ACSM3.6296,1_ALPL.249,1_ANXA4.307,1_ARMCX2.9823,1_BEX4.56271,1_BICC1.80114,1_BICD1.636,1_C17orf96.100170841,1_C19orf40.91442,1_C22orf27.150291,1_C3orf30.152405,1_C5orf34.375444,1_C9orf110.100128385,1_CASP9.842,1_CCNB1.891,1_CDKN2BAS.100048912,1_CHRND.1144,1_CLU.1191,1_CSDC2.27254,1_CUEDC2.79004,1_DERL2.51009,1_DGCR6.8214,1_DPY19L1.23333,1_E2F8.79733,1_EFHB.151651,1_EIF3L.51386,1_FAM19A3.284467,1_FAM35B2.439965,1_FAM66C.440078,1_FBXO45.200933,1_FLJ10213.55096,1_GLG1.2734,1_GOLT1A.127845,1_GPR1.2825,1_GPRASP1.9737,1_GSTA1.2938,1_GSTA4.2941,1_GSX2.170825,1_HILS1.373861,1_HNRNPA1.3178,1_IGFBP2.3485,1_ISM2.145501,1_KLHL25.64410,1_LOC645752.645752,1_LOC647946.647946,1_LPPR3.79948,1_MAP1LC3C.440738,1_MARCH5.54708,1_MEGF11.84465,1_MFAP4.4239,1_MRPL38.64978,1_MRPL46.26589,1_MRPS16.51021,1_MSL3L2.151507,1_MXD4.10608,1_NSUN7.79730,1_NTN4.59277,1_OLIG2.10215,1_OR10AD1.121275,1_OR1J4.26219,1_OR5B12.390191,1_PAPPA2.60676,1_PCSK6.5046,1_PNPLA4.8228,1_PYCR1.5831,1_QRFP.347148,1_RAB42.115273,1_RRBP1.6238,1_RRM1.6240,1_SEC61A1.29927,1_SELL.6402,1_SERPINF1.5176,1_SGOL1.151648,1_SMC4.10051,1_SNORA5C.677796,1_TMEM194A.23306,1_TMSB10.9168,1_TOLLIP.54472,1_TSSC4.10078,1_TTC39A.22996,1_TTF2.8458,1_VAV3.10451,1_WEE1.7465,1_XG.7499,1_ZNF573.126231,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
