1_hsa.miR.155.3p,1_hsa.miR.17.5p,1_hsa.miR.3648,1_hsa.miR.3678.5p,1_hsa.miR.491.3p,2_ABHD12B.145447,2_ADIPOR1.51094,2_ASB2.51676,2_BCL7B.9275,2_BRP44.25874,2_C22orf26.55267,2_C22orf41.644186,2_C4orf26.152816,2_CCDC122.160857,2_CCDC53.51019,2_CDKN2AIPNL.91368,2_CDKN2B.1030,2_COL9A3.1299,2_CTAGE9.643854,2_CYP2R1.120227,2_DCLRE1B.64858,2_DEK.7913,2_DHCR24.1718,2_DHH.50846,2_DHRS12.79758,2_E2F3.1871,2_FOXM1.2305,2_FUBP1.8880,2_GALNT12.79695,2_GCET2.257144,2_KDM1B.221656,2_KIAA0146.23514,2_KLHL12.59349,2_LOC284440.284440,2_MCHR2.84539,2_MORC4.79710,2_NCRNA00169.400508,2_NUDT13.25961,2_PGRMC1.10857,2_PIK3C2B.5287,2_PLXNA1.5361,2_PMCHL1.5369,2_PRKCDBP.112464,2_PRPS1L1.221823,2_RAB7L1.8934,2_RAD54B.25788,2_RNASEH2C.84153,2_RPS8.6202,2_SBDSP1.155370,2_SH3D20.201175,2_SLC25A24.29957,2_SLC37A1.54020,2_SLC9A9.285195,2_SNORD115.26.100033802,2_SPNS2.124976,2_TADA2B.93624,2_TAS2R30.259293,2_THEMIS.387357,2_UCN2.90226,2_VEGFB.7423,2_YWHAQ.10971,2_ZNF490.57474,2_ZNF883.169834
0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1
1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1
0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
