1_hsa.miR.1197,1_hsa.miR.3648,2_ABHD12B.145447,2_AKAP4.8852,2_ALDH1A1.216,2_ANKRD33.341405,2_ARHGEF5.7984,2_ATXN7L1.222255,2_B3GALT4.8705,2_C10orf116.10974,2_C22orf26.55267,2_C4orf10.317648,2_C4orf37.285555,2_C4orf38.152641,2_C9orf170.401535,2_CARTPT.9607,2_CCDC122.160857,2_CDSN.1041,2_CHRNA10.57053,2_CNKSR3.154043,2_CNR2.1269,2_COL15A1.1306,2_CYB5R1.51706,2_FBXO8.26269,2_GALNT12.79695,2_HCG26.352961,2_HMGB3.3149,2_IGJ.3512,2_KDM2B.84678,2_LIPC.3990,2_LOC100101266.100101266,2_LOC494141.494141,2_LOC645752.645752,2_LOC646851.646851,2_LOC727924.727924,2_LTF.4057,2_MCHR2.84539,2_MGAT1.4245,2_MRAP2.112609,2_MS4A1.931,2_MTHFR.4524,2_NLRP10.338322,2_NUDT10.170685,2_OR6B1.135946,2_PIWIL3.440822,2_PNMA2.10687,2_PPP1R11.6992,2_PTPN20B.26095,2_RAB8A.4218,2_RBM4.5936,2_RIOK1.83732,2_RPL8.6132,2_SYNCRIP.10492,2_TAS2R30.259293,2_TCTEX1D4.343521,2_TMEM132A.54972,2_USP24.23358
0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1
1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
