2_ABHD12B.145447,2_ADIPOR1.51094,2_ALAD.210,2_ALDH1A1.216,2_AMD1.262,2_ANKRD33.341405,2_ARHGEF35.445328,2_ASGR2.433,2_AZIN1.51582,2_C22orf41.644186,2_C7orf64.84060,2_CCDC122.160857,2_CENPI.2491,2_COPB2.9276,2_CTAGE4.100128553,2_DCAF13.25879,2_DHRS12.79758,2_ENTPD1.953,2_FAM109B.150368,2_GAL3ST4.79690,2_GALNT12.79695,2_GZMM.3004,2_IL1A.3552,2_KIAA0146.23514,2_LACE1.246269,2_LCE1A.353131,2_MCHR2.84539,2_MEAF6.64769,2_MKRN3.7681,2_MORC4.79710,2_NTRK2.4915,2_NUDT13.25961,2_PEX11G.92960,2_PLEKHF1.79156,2_PPP1R11.6992,2_PPP2R2B.5521,2_PRKCDBP.112464,2_RPL39.6170,2_SELP.6403,2_SIGLEC15.284266,2_SLC12A3.6559,2_SNORD17.692086,2_SPATA20.64847,2_SPC25.57405,2_TADA2B.93624,2_TERT.7015,2_TRANK1.9881,2_TRIM68.55128,2_TTC30A.92104,2_ZNF230.7773,2_ZNF396.252884
1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
