inner_cv_NB_bal_acc,inner_cv_leanness,train_NB_bal_acc,train_leanness,test_NB_bal_acc,test_leanness
1.0,0.05263157894736842,0.9959677419354839,0.05263157894736842,0.728021978021978,0.05263157894736842
0.9959677419354839,0.05555555555555555,0.9879032258064516,0.05555555555555555,0.712396978021978,0.05555555555555555
0.9838709677419355,0.06666666666666667,0.97915398660986,0.06666666666666667,0.7450206043956045,0.06666666666666667
0.9751217285453438,0.07142857142857142,0.9663724893487523,0.07142857142857142,0.7293956043956045,0.07142857142857142
0.9670572124163116,0.07692307692307693,0.9707357636330631,0.07692307692307693,0.7606456043956045,0.07692307692307693
0.9572468526764263,0.08333333333333333,0.9653113688054585,0.08333333333333333,0.6766826923076923,0.08333333333333333
0.9471281673447159,0.09090909090909091,0.9478128904122753,0.09090909090909091,0.7330013736263736,0.09090909090909091
0.9471281673447159,0.09090909090909091,0.9478128904122753,0.09090909090909091,0.7486263736263736,0.09090909090909091
0.9390636512156837,0.1,0.9521988553245561,0.1,0.7642513736263736,0.1
0.926282153954576,0.1111111111111111,0.9438033229757291,0.1111111111111111,0.7927541208791209,0.1111111111111111
0.9175329147579844,0.125,0.9350540837791375,0.125,0.7771291208791209,0.125
0.8926319526753586,0.14285714285714285,0.9152238096763515,0.14285714285714285,0.782967032967033,0.14285714285714285
0.8667152513053785,0.16666666666666666,0.8893071083063715,0.16666666666666666,0.7687156593406593,0.16666666666666666
0.8408212405633683,0.2,0.8623519770210676,0.2,0.6583104395604396,0.2
0.8061552999967967,0.25,0.8240074852377444,0.25,0.6189903846153846,0.25
0.7069198406850968,0.3333333333333333,0.7156690798816884,0.3333333333333333,0.6346153846153846,0.3333333333333333
0.5344390342868736,0.5,0.5216575370257659,0.5,0.47733516483516486,0.5
0.24596774193548387,1.0,0.25,1.0,0.25,1.0
