0_age_at_initial_pathologic_diagnosis,1_BCCIP.56647,1_BMP2.650,1_C20orf72.92667,1_C22orf27.150291,1_CD101.9398,1_CDKN2BAS.100048912,1_CENPO.79172,1_CHRND.1144,1_COL8A1.1295,1_DGCR6.8214,1_EFHB.151651,1_EML4.27436,1_EPS8L2.64787,1_FAM19A3.284467,1_FAM35A.54537,1_GPR1.2825,1_GPR156.165829,1_GPR55.9290,1_GSTA1.2938,1_GSTA4.2941,1_GSX2.170825,1_HILS1.373861,1_KLHL25.64410,1_KLRC2.3822,1_LMX1A.4009,1_LOC647946.647946,1_LPIN2.9663,1_LRRC27.80313,1_MFAP4.4239,1_PCGF2.7703,1_PHTF1.10745,1_PRSS35.167681,1_PYCR1.5831,1_RASL10A.10633,1_RPL12.6136,1_SEL1L3.23231,1_SPRY1.10252,1_UPK2.7379,1_WEE1.7465,1_XRCC2.7516,1_ZNF648.127665
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
