gen,0_AASDH,0_ABAT,0_ABCA3,0_ABCB8,0_ABHD11,0_ABHD14A,0_ACAA1,0_ACAD8,0_ACADL,0_ACAT1,0_ACBD6,0_ACOT1,0_ACTN1,0_ACTR2,0_ACTR3,0_ADA,0_ADAL,0_ADAM23,0_ADAM33,0_ADAM8,0_ADAMTSL4,0_ADAR,0_ADCY4,0_ADD1,0_ADH5,0_ADM,0_ADSL,0_AFG3L2,0_AFP,0_AGPAT4,0_AGTRAP,0_AKTIP,0_ALAS1,0_ALDH1L1,0_ALDH1L2,0_ALDH6A1,0_ALS2,0_ANAPC7,0_ANK3,0_ANKRD11,0_ANLN,0_ANO6,0_ANP32E,0_ANXA11,0_ANXA2,0_ANXA3,0_ANXA7,0_AP1B1,0_AP2B1,0_AP4S1,0_APBB1,0_APBB3,0_APCS,0_APOBEC3A,0_APOL2,0_AQP1,0_ARAF,0_ARHGAP12,0_ARHGAP24,0_ARHGAP5,0_ARHGAP6,0_ARHGEF35,0_ARL13B,0_ARL6IP6,0_ARNT2,0_ASS1,0_ATF7IP2,0_ATG16L1,0_ATG5,0_ATG7,0_ATM,0_ATP13A3,0_ATP1B3,0_ATP2B3,0_ATP6V1B1,0_ATP6V1E1,0_ATP6V1G1,0_ATP6V1H,0_ATXN7L3,0_AURKAIP1,0_B4GALNT1,0_B4GALNT2,0_B4GALNT3,0_B9D2,0_BAG1,0_BCL2L10,0_BCL7B,0_BEX2,0_BIK,0_BIRC2,0_BIRC3,0_BIRC5,0_BNIP3,0_BRIP1,0_BRPF1,0_BRWD1,0_BST2,0_BTBD1,0_BTF3,0_BTF3L4,0_BTN3A1,0_BTN3A3,0_C11orf45,0_C18orf32,0_C1orf162,0_C1orf174,0_C1orf35,0_C5orf46,0_C6orf226,0_C6orf62,0_C9orf40,0_CACNA1H,0_CACYBP,0_CALU,0_CAP2,0_CARD11,0_CASP4,0_CASP8,0_CBLC,0_CBWD5,0_CBX1,0_CC2D1A,0_CCDC124,0_CCDC127,0_CCDC50,0_CCDC59,0_CCDC68,0_CCDC96,0_CCL4,0_CCNA2,0_CCR6,0_CCT5,0_CCT6B,0_CD2BP2,0_CD44,0_CD47,0_CD9,0_CDC14A,0_CDC16,0_CDC20,0_CDC45,0_CDC5L,0_CDC6,0_CDCA8,0_CDH11,0_CDK11A,0_CDK18,0_CDK19,0_CDKN1A,0_CDKN2A,0_CEBPB,0_CENPA,0_CFI,0_CHAC1,0_CHCHD10,0_CHCHD6,0_CHEK2,0_CHP2,0_CHRDL1,0_CISH,0_CITED1,0_CKS2,0_CLCN2,0_CLDN7,0_CLDN8,0_CLEC4D,0_CLN5,0_CLVS1,0_CMAS,0_CMPK1,0_CMTM1,0_CNIH4,0_CNOT1,0_CNPY2,0_CNTN2,0_CNTNAP1,0_COG1,0_COG8,0_COIL,0_COPA,0_COPB1,0_COPS2,0_COQ9,0_COX18,0_CPNE1,0_CPNE8,0_CRAT,0_CRISPLD2,0_CRP,0_CRTC1,0_CRYL1,0_CS,0_CSDE1,0_CSTF3,0_CTAGE1,0_CTBS,0_CTDSPL2,0_CTSD,0_CTSS,0_CTTN,0_CTTNBP2,0_CUL4B,0_CUL5,0_CX3CL1,0_CYB5D2,0_CYFIP2,0_CYTH4,0_DAB2,0_DCAF12L1,0_DCLK1,0_DDB1,0_DDHD2,0_DDIT4,0_DDX42,0_DDX55,0_DEF8,0_DENND4C,0_DGKD,0_DGKG,0_DHODH,0_DIP2C,0_DLD,0_DLST,0_DLX5,0_DMTF1,0_DNAJB11,0_DNAJB4,0_DNAJB7,0_DNAJC2,0_DNAJC28,0_DNAJC5,0_DNASE1L3,0_DPAGT1,0_DPH5,0_DPYS,0_DPYSL3,0_DPYSL4,0_DSC1,0_DSG2,0_DTYMK,0_DUOXA1,0_EBPL,0_EDAR,0_EEA1,0_EEF2,0_EFHC2,0_EFS,0_EGFL7,0_EGLN1,0_EIF3CL,0_EIF4A3,0_EIF4E,0_EIF4EBP1,0_ELMO3,0_ELMOD3,0_ELOVL1,0_ELOVL7,0_EML4,0_ENAH,0_ENGASE,0_ENPP3,0_ENPP5,0_EPHA3,0_EPHA7,0_EPS15L1,0_EPS8,0_ERGIC2,0_ERLEC1,0_ERLIN2,0_ESF1,0_ESPL1,0_FABP7,0_FADS1,0_FAM136A,0_FAM171A1,0_FAM172A,0_FAM189A2,0_FAM20A,0_FAM47E,0_FAM83H,0_FANCI,0_FAR2,0_FASTKD1,0_FBP1,0_FBXL2,0_FBXW7,0_FCAR,0_FCHSD1,0_FCN3,0_FETUB,0_FGB,0_FGD4,0_FGFR4,0_FHIT,0_FHOD1,0_FIGNL1,0_FKBP5,0_FLRT3,0_FPR2,0_FRK,0_FTSJ1,0_FUBP3,0_FUCA2,0_FUS,0_FUT11,0_FUT8,0_FXR1,0_FXYD2,0_FXYD3,0_FXYD6,0_G3BP1,0_G6PC,0_GABARAPL1,0_GABPB1,0_GANAB,0_GAS1,0_GBP1,0_GBP3,0_GC,0_GCAT,0_GDI1,0_GEMIN6,0_GGA1,0_GGA3,0_GGT6,0_GHITM,0_GLI3,0_GLIS3,0_GLOD5,0_GLRX2,0_GLUD1,0_GMIP,0_GNRH1,0_GORASP2,0_GOT1,0_GPR107,0_GPR143,0_GPR183,0_GRB10,0_GREM2,0_GRINA,0_GRSF1,0_GRTP1,0_GSR,0_GSTA1,0_GSTA3,0_GSTO2,0_GTF2E2,0_GTPBP1,0_GTPBP2,0_GTPBP8,0_GTSF1,0_HADH,0_HADHA,0_HAGH,0_HAL,0_HAT1,0_HAX1,0_HBP1,0_HDHD2,0_HEBP2,0_HEPH,0_HERC2,0_HERC3,0_HIBCH,0_HIF1AN,0_HIP1R,0_HIPK1,0_HIRA,0_HM13,0_HMGA2,0_HMGXB4,0_HMOX1,0_HNMT,0_HNRNPA2B1,0_HNRNPA3,0_HNRNPC,0_HNRNPD,0_HNRNPR,0_HPCAL1,0_HPR,0_HPS3,0_HSD17B6,0_HSD17B7,0_HSDL2,0_HSP90B1,0_HSPA12A,0_IAH1,0_ICA1,0_ICAM1,0_ID3,0_IDH3A,0_IDH3B,0_IDO1,0_IER5,0_IKBIP,0_IKZF2,0_IL4I1,0_IMPA2,0_INTS1,0_INTS8,0_IQCG,0_IRF2BP1,0_ISCA2,0_ISG15,0_ISLR,0_ITGB3BP,0_ITIH1,0_JAZF1,0_JDP2,0_KAT5,0_KCNA5,0_KCNE3,0_KCNG1,0_KCNJ15,0_KCTD16,0_KCTD20,0_KDM2A,0_KIAA1614,0_KIAA1755,0_KIF18A,0_KIF4A,0_KIF7,0_KIF9,0_KISS1R,0_KLC2,0_KLHDC4,0_KLHL20,0_KLHL36,0_KPNA3,0_KRT19,0_KRT4,0_KRT7,0_L2HGDH,0_LAMP1,0_LARP6,0_LASP1,0_LBP,0_LBR,0_LDHB,0_LDHD,0_LENG8,0_LGALS1,0_LGI4,0_LMCD1,0_LMO7,0_LPAR2,0_LPAR5,0_LPCAT1,0_LRCH2,0_LRFN3,0_LRRC24,0_LRRC25,0_LRTOMT,0_LSR,0_LTV1,0_LUC7L3,0_LUZP1,0_LY86,0_LYPLAL1,0_MAEA,0_MAFB,0_MAGEA4,0_MAGOHB,0_MAML3,0_MAP1LC3B2,0_MAP3K9,0_MAP4,0_MAPK12,0_MARK4,0_MAZ,0_MBNL1,0_MCM5,0_MDC1,0_MECR,0_MEGF8,0_MEP1A,0_MEPCE,0_MERTK,0_METTL7B,0_MGST1,0_MICALL2,0_MINPP1,0_MLH1,0_MLYCD,0_MMP2,0_MOGS,0_MORF4L2,0_MPV17L,0_MPZL1,0_MRPL1,0_MRPL2,0_MRPL42,0_MRPL49,0_MRPS28,0_MRPS35,0_MS4A6A,0_MS4A7,0_MSTO1,0_MT1A,0_MTA2,0_MTDH,0_MX1,0_MYB,0_MYD88,0_MYO10,0_MYO3A,0_MYO6,0_MYOF,0_N4BP1,0_N4BP2L2,0_N4BP3,0_NAA35,0_NAP1L4,0_NBEA,0_NCAM2,0_NDUFA4,0_NDUFC2,0_NDUFS2,0_NDUFV1,0_NEDD1,0_NEDD4,0_NEUROD1,0_NFIL3,0_NFYB,0_NIT1,0_NLRX1,0_NMB,0_NNMT,0_NOL11,0_NONO,0_NOP2,0_NOP56,0_NOXO1,0_NPC2,0_NPEPL1,0_NPM1,0_NR3C1,0_NR3C2,0_NR5A2,0_NRBP1,0_NSUN6,0_NTRK3,0_NUCKS1,0_NUDCD3,0_NUDT1,0_NUP153,0_OCLN,0_OGT,0_OTP,0_P2RY1,0_P4HA2,0_P4HA3,0_PADI1,0_PAM,0_PARP14,0_PARP3,0_PATZ1,0_PAX9,0_PBXIP1,0_PCDHGA1,0_PCDHGA12,0_PCDHGB3,0_PCIF1,0_PCNA,0_PCYT2,0_PDCD6IP,0_PDCD7,0_PDCL2,0_PDCL3,0_PDE12,0_PDE3A,0_PDE8A,0_PDIA3,0_PDIA6,0_PDLIM1,0_PDPK1,0_PDS5A,0_PDZRN3,0_PEA15,0_PEG3,0_PELI2,0_PEX14,0_PFDN2,0_PGAP3,0_PGLYRP2,0_PHF10,0_PHIP,0_PHLDB2,0_PI4KA,0_PID1,0_PLCB4,0_PLCD1,0_PLEKHA2,0_PLEKHB2,0_PLEKHG3,0_PLK1,0_PLK2,0_PLOD2,0_PLP2,0_PLTP,0_PLXDC1,0_PMS2,0_PNPT1,0_POLA2,0_POLG2,0_POLR3B,0_PON2,0_POU2F1,0_POU2F2,0_POU3F3,0_POU5F1,0_PPIB,0_PPIG,0_PPIL2,0_PPME1,0_PPP1R11,0_PPP1R3B,0_PPP2R2C,0_PPT1,0_PRC1,0_PRCC,0_PRDM4,0_PRDX5,0_PRELID1,0_PRICKLE4,0_PRKAR1B,0_PRKCB,0_PRKDC,0_PROM1,0_PROS1,0_PRTFDC1,0_PRTN3,0_PSKH1,0_PSMA4,0_PSMA5,0_PSMB1,0_PSMC5,0_PSMD12,0_PSMF1,0_PTGIS,0_PTHLH,0_PTK2B,0_PTPN12,0_PTPN3,0_PYCR1,0_PYGL,0_PZP,0_RAB10,0_RAB11FIP5,0_RAB13,0_RAB17,0_RAB1A,0_RAB23,0_RAB34,0_RAB6C,0_RACGAP1,0_RAD21,0_RAD9B,0_RALGAPB,0_RANBP3L,0_RAP1GAP,0_RAPGEF1,0_RAPGEF3,0_RASGRF1,0_RASL11A,0_RASSF4,0_RBBP4,0_RBM15,0_RBM17,0_RBM25,0_RBM28,0_RBM8A,0_RCC1,0_RCC2,0_RFC2,0_RFC4,0_RFK,0_RFX1,0_RFX5,0_RGPD1,0_RGS1,0_RHOT1,0_RIC3,0_RIC8B,0_RIN3,0_RNASEH2B,0_RNASET2,0_RNF123,0_RNF17,0_RNF180,0_RNF4,0_RNF7,0_RNPEP,0_RPA2,0_RPL10,0_RPL27A,0_RPL31,0_RPL7,0_RPS15A,0_RPS6KA1,0_RRAGD,0_RRP1B,0_RTN4IP1,0_RYBP,0_S100A1,0_S100PBP,0_SAAL1,0_SAFB2,0_SAMD10,0_SAMD9,0_SAMHD1,0_SAP30,0_SAR1A,0_SARDH,0_SART3,0_SCAP,0_SCARA5,0_SCARF2,0_SCFD2,0_SCML4,0_SCYL3,0_SDCBP2,0_SDHA,0_SECISBP2,0_SEMA3A,0_SEPHS2,0_SERPINA1,0_SERPINB5,0_SERPINH1,0_SH2B1,0_SH2D4A,0_SH3BP2,0_SH3PXD2B,0_SHC1,0_SHMT2,0_SIKE1,0_SIM2,0_SIPA1L2,0_SIRPA,0_SIRT3,0_SIRT5,0_SLC12A7,0_SLC13A5,0_SLC15A4,0_SLC16A1,0_SLC1A4,0_SLC25A12,0_SLC26A2,0_SLC27A2,0_SLC29A2,0_SLC30A5,0_SLC31A1,0_SLC36A1,0_SLC39A9,0_SLC44A3,0_SLC46A2,0_SLC7A5,0_SLMAP,0_SMARCA4,0_SMARCE1,0_SMC3,0_SMPD3,0_SMS,0_SNAI1,0_SNRNP27,0_SNX12,0_SNX14,0_SNX33,0_SP3,0_SPAG5,0_SPG11,0_SPRYD3,0_SPTBN2,0_SREBF2,0_SRPK1,0_SRPX2,0_SRR,0_SSH3,0_SSR1,0_SSR3,0_ST3GAL2,0_ST8SIA5,0_STAT4,0_STC1,0_STEAP3,0_STRADB,0_STX18,0_STX6,0_STXBP5,0_SULT1C2,0_SUMO4,0_SUOX,0_SURF2,0_SVIP,0_SYNGR1,0_SYNGR3,0_SYNJ2BP,0_SYPL1,0_SYTL2,0_TACO1,0_TAF1,0_TAF1A,0_TARDBP,0_TBC1D1,0_TBC1D14,0_TBC1D16,0_TBC1D22A,0_TBC1D7,0_TBCE,0_TBL3,0_TCEA2,0_TCF12,0_TCP11L1,0_TCTN1,0_TECPR2,0_TEKT3,0_TGFA,0_TGM2,0_THBS2,0_THOC1,0_THUMPD3,0_TIFA,0_TJP2,0_TMBIM6,0_TMED2,0_TMEFF2,0_TMEM116,0_TMEM131,0_TMEM176A,0_TMEM33,0_TMEM87B,0_TMEM9B,0_TMPRSS2,0_TMX4,0_TNC,0_TNFRSF6B,0_TNFSF13B,0_TOP2A,0_TOR3A,0_TPD52L1,0_TPP2,0_TPPP,0_TPT1,0_TPX2,0_TRA2B,0_TRAFD1,0_TRIB3,0_TRIM33,0_TRPC1,0_TSEN15,0_TSEN34,0_TSHR,0_TSKU,0_TSPAN1,0_TTC27,0_TTC32,0_TTC9C,0_TTF2,0_TTLL7,0_TUBA1B,0_TUBA8,0_TUBGCP3,0_TXNDC5,0_UBAP1,0_UBB,0_UBOX5,0_UBTF,0_UCHL5,0_UCP2,0_UGDH,0_UPK3B,0_UQCRC1,0_UQCRFS1,0_UROC1,0_USP1,0_USP15,0_USP2,0_USP22,0_USP32,0_USP48,0_USP6NL,0_UTP6,0_VAPB,0_VASP,0_VCP,0_VEGFA,0_VPS18,0_VPS37B,0_VPS41,0_VRK2,0_VTA1,0_WDR17,0_WDR24,0_WSCD2,0_WWC1,0_XKR9,0_XPO5,0_XRCC5,0_YIPF1,0_YWHAQ,0_ZBTB3,0_ZBTB5,0_ZC3HAV1,0_ZCCHC24,0_ZCCHC8,0_ZFAND2A,0_ZFPM1,0_ZFYVE1,0_ZIC1,0_ZMYM4,0_ZNF146,0_ZNF207,0_ZNF251,0_ZNF304,0_ZNF512,0_ZNF514,0_ZNF549,0_ZNF630,0_ZNF75D,0_ZNF83
0,0,0,19,0,0,0,0,0,182,0,0,51,0,0,0,0,0,0,48,96,12,0,7,0,0,0,0,0,62,0,0,0,0,2,87,0,0,0,76,0,0,0,0,0,0,15,0,0,0,0,0,0,111,65,0,0,0,0,0,0,0,0,0,0,62,0,33,0,0,0,0,0,0,2,0,0,0,0,0,0,29,7,0,0,0,40,0,33,76,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,109,0,0,0,140,0,0,21,53,0,0,0,0,0,0,175,0,0,0,47,0,168,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,153,106,58,0,0,69,0,0,0,0,6,0,36,0,0,0,25,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,124,0,0,70,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,147,39,0,0,0,0,0,0,0,0,35,0,199,0,0,0,0,0,42,0,0,30,0,0,38,89,0,0,28,0,0,0,0,0,0,0,0,0,0,155,0,0,117,22,19,0,0,0,0,0,0,0,0,0,0,25,0,86,0,0,0,21,59,0,0,0,0,0,0,0,0,0,90,0,0,0,138,0,0,0,68,100,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,77,0,134,0,0,0,0,0,0,18,0,0,0,0,76,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,13,0,150,0,0,0,0,0,158,0,131,0,0,0,0,0,0,147,8,0,0,0,0,0,216,0,0,3,0,0,0,92,0,0,0,28,0,0,0,25,98,0,40,0,35,0,0,0,0,0,6,104,21,0,0,0,0,10,0,0,0,0,0,146,0,0,0,0,0,166,144,34,0,0,267,0,0,0,0,0,0,0,185,0,59,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,102,0,0,0,0,157,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,117,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,140,0,1,0,42,120,81,0,0,0,0,0,0,87,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,63,0,0,0,102,0,0,0,0,214,104,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,52,0,16,0,0,0,0,0,59,45,0,0,0,0,0,0,0,48,0,0,17,0,107,0,0,0,0,0,0,0,0,118,62,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,25,91,0,11,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,44,0,0,0,187,0,38,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,14,0,0,152,0,28,0,0,141,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,27,127,0,60,0,0,44,40,0,0,0,0,0,47,0,0,0,0,0,68,0,14,0,0,0,0,0,98,0,0,44,0,0,117,0,0,0,0,0,0,168,26,0,115,0,0,0,0,64,0,0,0,37,102,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,4,0,0,0,0,0,126,0,0,0,0,72,0,0,0,0,28,80,0,0,135,0,0,18,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,63,0,0,0,0,0,0,0,0,0,0,0,0,42,0,41,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,8,1,1,0,0,0,4,36,0,0,0,2,1,0,2,0,0,0,0,3,5,8,1,4,0,1,6,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1,3,4,0,0,0,0,1,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,5,0,0,2,0,0,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,266,0,18,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,267,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,115,3,0,2,1,4,1,0,0,0,0,1,0,0,41,0,0,1,6,0,0,0,0,3,0,0,0,1,0,0,0,0,0,332,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,18,0,0,14,372,0,5,1,0,1,0,0,0,0,0,1,295,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,279,149,42,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,4,0,0,0,3,0,0,0,2,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,6,2,5,0,0,0,0,0,63,0,0,0,7,0,0,0,1,0,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,5,1,0,0,0,0,21,4,2,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,27,0,0,1,0,1,2,0,0,93,0,2,0,6,1,0,76,3,0,0,0,13,0,0,0,5,0,23,0,2,0,0,196,0,0,0,0,0,4,1,23,0,0,37,0,0,0,0,0,0,0,0,1,1,0,218,0,1,0,10,0,387,38,0,0,1,53,1,0,0,0,0,0,0,163,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,3,0,148,0,0,1,1,9,0,0,0,2,8,0,0,1,0,0,0,0,0,0,0,0,272,0,0,2,0,0,0,1,1,0,0,1,156,0,3,0,0,4,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,1,1,5,0,0,0,0,3,0,0,1,3,0,1,3,0,23,0,0,0,0,1,0,0,1,256,1,1,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,229,0,0,2,0,25,0,1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,151,0,0,0,0,1,16,0,1,1,1,0,0,0,231,0,0,0,2,1,1,0,0,0,0,0,6,0,5,0,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,422,0,0,0,1,0,2,1,0,0,0,2,3,0,0,0,0,10,0,3,0,0,7,0,15,1,0,11,0,0,0,0,12,291,0,0,0,0,198,0,1,0,1,0,0,3,259,9,1,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,269,0,2,0,0,0,263,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,67,5,0,0,1,0,2,0,2,0,0,0,0,1,0,0,1,0,1,0,10,4,2,0,9,0,1,0,0,0,7,1,0,0,0,0,1,0,0,0,137,0,0,0,0,0,0,0,0,1,0,3,1,0,3,0,0,0,0,0,35,4,0,0,8,0,16,0,1,24,0,1,0,0,3,386,1,0,0,1,0,0,0,0,0,0,0,0,1,0,13,1,0,0,5,0,0,0,0,2,0,0,3,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0
200,3,8,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,27,1,1,0,0,0,4,3,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,245,0,10,1,5,1,0,2,0,0,1,12,6,0,0,0,0,0,0,0,0,352,3,3,0,0,0,0,0,1,0,1,0,17,0,0,0,0,0,0,0,0,0,65,0,0,16,0,0,0,3,2,0,0,1,0,0,236,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,356,0,0,1,0,0,1,0,5,1,0,2,0,0,0,0,0,1,1,0,27,4,1,4,3,1,0,0,0,3,0,6,0,1,0,0,2,0,0,372,2,0,0,0,1,0,0,0,0,5,0,344,0,1,0,0,0,0,1,0,14,0,0,0,0,23,0,7,0,151,208,1,0,0,8,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,64,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,45,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,1,0,53,0,0,0,0,0,2,52,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,183,0,0,1,0,4,0,0,44,0,0,41,0,0,0,0,3,0,0,0,0,0,1,244,0,0,0,0,1,377,25,0,0,0,25,3,3,0,0,0,0,4,13,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,50,40,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,4,0,0,3,279,0,0,0,0,0,0,0,0,0,0,0,233,0,0,3,0,0,3,1,0,1,3,1,0,0,0,15,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,4,0,67,1,0,253,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,119,0,1,0,6,11,0,0,0,0,3,1,1,15,0,0,0,0,1,1,0,1,0,0,0,1,0,7,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,74,4,0,0,15,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,404,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,2,261,0,0,1,0,0,1,0,186,8,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,276,5,0,0,0,0,264,2,0,0,0,8,0,0,0,0,5,2,0,0,0,0,0,20,5,0,43,6,5,0,0,1,1,0,5,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26,0,2,0,0,0,0,0,2,0,208,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,2,0,0,0,3,391,0,0,0,0,2,1,3,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,2,0,24,1,1,0,0,0
