gen,0_ABAT,0_ABCA4,0_ABCB7,0_ABHD3,0_ABTB2,0_ACAP1,0_ACAP2,0_ACOX1,0_ACSL4,0_ACSL6,0_ACSM2A,0_ACVRL1,0_ACY1,0_ADAM17,0_ADAM33,0_ADAM8,0_ADAMTS13,0_ADAMTSL2,0_ADI1,0_ADK,0_ADPRH,0_ADSL,0_AFF3,0_AGA,0_AHNAK2,0_AHR,0_AK2,0_AKAP7,0_AKR1A1,0_AKR1C3,0_AKR1E2,0_AKT1,0_ALCAM,0_ALG1L2,0_ALG9,0_ALK,0_ALKBH3,0_ANAPC2,0_ANAPC4,0_ANGPTL1,0_ANGPTL4,0_ANK3,0_ANKRD13A,0_ANKRD39,0_ANKRD46,0_ANPEP,0_ANXA13,0_ANXA3,0_ANXA4,0_ANXA9,0_APOBEC3A,0_APOBEC3D,0_APOL2,0_APPL2,0_ARF6,0_ARHGAP21,0_ARHGEF5,0_ARL10,0_ARL5A,0_ARL6IP6,0_ARMCX1,0_ARMCX2,0_ARPC5,0_ARRB1,0_ARRDC4,0_ARSA,0_ARSD,0_ASH1L,0_ASMTL,0_ASNSD1,0_ASRGL1,0_ASS1,0_ATF2,0_ATF3,0_ATF7IP2,0_ATIC,0_ATP11A,0_ATP2B1,0_ATP6V1A,0_ATP6V1C2,0_ATP6V1H,0_ATRN,0_ATXN10,0_AURKAIP1,0_AWAT2,0_AXIN2,0_B3GNTL1,0_B4GALNT2,0_B4GALT1,0_BAALC,0_BAHCC1,0_BARX2,0_BCL2L10,0_BCO2,0_BDH1,0_BDKRB1,0_BEX1,0_BHMT2,0_BMI1,0_BNIP3L,0_BRD7,0_BSDC1,0_BST2,0_BTG3,0_BTN3A1,0_BVES,0_C1orf198,0_C2orf74,0_C4BPA,0_C4orf19,0_C5orf22,0_C6orf118,0_C7orf25,0_C8B,0_CA9,0_CAB39,0_CAB39L,0_CACNA1C,0_CADM4,0_CALM2,0_CALU,0_CAMKK2,0_CAND2,0_CAP2,0_CAPG,0_CAPRIN1,0_CAPZB,0_CARD10,0_CASP10,0_CASP4,0_CAV1,0_CBWD2,0_CBWD6,0_CCDC102B,0_CCDC115,0_CCDC28A,0_CCDC88C,0_CCDC89,0_CCNK,0_CCRL2,0_CCT3,0_CD276,0_CDC20,0_CDC42BPA,0_CDCA5,0_CDH1,0_CDH2,0_CDH23,0_CDK18,0_CDK19,0_CDKN1C,0_CDKN2A,0_CDR2L,0_CDT1,0_CECR2,0_CEMP1,0_CES3,0_CFC1B,0_CHCHD6,0_CHDH,0_CHM,0_CHP2,0_CHRM3,0_CHST15,0_CIB2,0_CIDEB,0_CIITA,0_CITED4,0_CLDN2,0_CLDN4,0_CLEC4C,0_CLK1,0_CLPB,0_CLPX,0_CLTCL1,0_CLYBL,0_CNTN2,0_CNTN5,0_CNTNAP1,0_COIL,0_COMMD3,0_COPA,0_COPS2,0_COPS5,0_COQ7,0_CPNE5,0_CROT,0_CRP,0_CRTC2,0_CSGALNACT2,0_CSPG4,0_CSTF1,0_CSTF3,0_CTAGE6,0_CTBP2,0_CTNNA2,0_CTSO,0_CUEDC1,0_CUTA,0_CYB5B,0_CYC1,0_CYFIP2,0_CYP27A1,0_CYTH4,0_DAAM2,0_DAB2,0_DACT2,0_DCAF11,0_DCAF12L2,0_DCAF4,0_DCLK1,0_DCLK3,0_DDB2,0_DDX1,0_DDX11,0_DDX23,0_DDX43,0_DDX58,0_DENND5B,0_DHCR7,0_DHRS3,0_DIRAS3,0_DLX5,0_DMAP1,0_DNA2,0_DNAJB2,0_DNMT3L,0_DOK4,0_DPF2,0_DPM1,0_DPM2,0_DPM3,0_DPP3,0_DPP4,0_DPP9,0_DPPA4,0_DPY19L4,0_DPYSL2,0_DPYSL4,0_DRD2,0_DSN1,0_DTNBP1,0_DUSP6,0_DYNC2LI1,0_DYNLRB1,0_DYNLT3,0_DZIP1L,0_DZIP3,0_EBAG9,0_EBPL,0_EDEM2,0_EEF2,0_EFCAB2,0_EFHC1,0_EFHC2,0_EFNB2,0_EGFL7,0_EGFR,0_EHMT1,0_EIF3J,0_EIF4ENIF1,0_EIF4H,0_ELK3,0_EML2,0_EMX1,0_ENHO,0_ENO1,0_ENPEP,0_ENPP3,0_ENPP5,0_ENTPD1,0_ENTPD4,0_EPS15,0_ERAP2,0_ERCC5,0_ERCC6L,0_ESYT2,0_ETNK2,0_ETV4,0_EVPL,0_EXD3,0_EXOC6,0_EXOSC4,0_EXTL3,0_F11R,0_FAF1,0_FAM104A,0_FAM114A2,0_FAM120AOS,0_FAM126A,0_FAM135A,0_FAM13C,0_FAM167A,0_FAM171B,0_FAM53B,0_FANCE,0_FAS,0_FBXL5,0_FCF1,0_FETUB,0_FGR,0_FILIP1L,0_FKBP4,0_FLII,0_FLRT3,0_FOS,0_FOXO1,0_FOXRED2,0_FPR2,0_FZD3,0_G3BP1,0_G6PD,0_GABARAPL1,0_GABRG3,0_GALC,0_GALNS,0_GALT,0_GART,0_GAS2L1,0_GAS8,0_GBP1,0_GBP4,0_GBP5,0_GDAP2,0_GFM1,0_GGA1,0_GGA3,0_GGCT,0_GIMAP8,0_GK5,0_GLA,0_GLB1L,0_GLE1,0_GLI3,0_GLRX5,0_GLT8D1,0_GLT8D2,0_GLUD1,0_GMDS,0_GNB1L,0_GNB2,0_GOLM1,0_GPAA1,0_GPATCH1,0_GPC6,0_GPR107,0_GPR137B,0_GPRASP1,0_GPRC5C,0_GRB7,0_GRK5,0_GRK6,0_GRPEL2,0_GSS,0_GSTA4,0_GSTCD,0_GTF3C1,0_HAPLN3,0_HAUS5,0_HAX1,0_HCCS,0_HCRTR1,0_HDAC5,0_HDAC6,0_HERC2,0_HERPUD2,0_HESX1,0_HEXIM1,0_HGD,0_HIF1A,0_HKDC1,0_HLA-B,0_HMGCR,0_HNRNPA2B1,0_HOXA6,0_HPCA,0_HPCAL1,0_HS1BP3,0_HSDL2,0_HSPA1A,0_HSPA1B,0_HSPA6,0_HSPB8,0_HSPBAP1,0_HTATSF1,0_HTR2B,0_HTRA4,0_HUNK,0_ICA1,0_ID1,0_IDO1,0_IER5,0_IFIT1,0_IFNAR1,0_IFNB1,0_IFNG,0_IFNGR2,0_IFRD2,0_IGF1R,0_IGF2BP2,0_IGSF8,0_IL15,0_IL23A,0_IL4I1,0_ILDR1,0_IMPA1,0_ING2,0_ING4,0_INTS1,0_INTU,0_ITGA3,0_ITGAV,0_ITIH5,0_ITM2B,0_ITSN2,0_JARID2,0_JMJD1C,0_JUND,0_KCNA4,0_KCNA5,0_KCNE3,0_KCNE4,0_KCNG1,0_KCNJ2,0_KCNQ5,0_KDM6B,0_KHDRBS1,0_KHDRBS2,0_KIAA0232,0_KIAA1522,0_KIF13B,0_KIF16B,0_KIF9,0_KISS1R,0_KLC2,0_KLF2,0_KLHDC8B,0_KLK5,0_KRBA1,0_LAP3,0_LARP4,0_LARS2,0_LASP1,0_LAYN,0_LBH,0_LBP,0_LBR,0_LDB2,0_LDHB,0_LGALS9,0_LGI4,0_LGR6,0_LHPP,0_LIMS3,0_LIPH,0_LIPT2,0_LMAN1,0_LMCD1,0_LMNB1,0_LMO4,0_LPCAT1,0_LRBA,0_LRP6,0_LRPPRC,0_LRRC25,0_LRRC56,0_LRRC61,0_LRRFIP1,0_LRRN3,0_LSM2,0_LSM6,0_LTBP2,0_LUC7L,0_LXN,0_LYSMD3,0_MAD1L1,0_MAF,0_MAN1B1,0_MAN2A1,0_MAP2K6,0_MAP4K2,0_MAPKAP1,0_MARK2,0_MARK4,0_MBIP,0_MCAT,0_MCPH1,0_MDC1,0_MED15,0_MED25,0_MFGE8,0_MFN1,0_MGAM,0_MGLL,0_MICAL3,0_MID1,0_MKS1,0_MLLT1,0_MME,0_MMP14,0_MOAP1,0_MPI,0_MPZL2,0_MRPL33,0_MRPL50,0_MRPS24,0_MRPS25,0_MRPS7,0_MSRB3,0_MT1A,0_MTA2,0_MTX2,0_MXI1,0_MYB,0_MYOM2,0_NAA15,0_NAAA,0_NAB2,0_NAGA,0_NAGK,0_NANOS2,0_NAV2,0_NBR1,0_NCK1,0_NCOA7,0_NDRG1,0_NDST2,0_NDUFA12,0_NDUFA4,0_NDUFA4L2,0_NDUFA8,0_NECAB3,0_NEDD4,0_NEDD4L,0_NEK8,0_NELL1,0_NFAT5,0_NFKBIA,0_NGB,0_NHEJ1,0_NID2,0_NIPAL3,0_NKX2-2,0_NLGN1,0_NME7,0_NMI,0_NNT,0_NOMO2,0_NONO,0_NOTCH1,0_NOTCH3,0_NPRL2,0_NPTN,0_NQO2,0_NR1D2,0_NR3C2,0_NRSN2,0_NSMCE2,0_NT5C,0_NT5DC2,0_NTN1,0_NUDCD3,0_NUDT10,0_NUDT9,0_NUP88,0_OBSL1,0_ODC1,0_OGFOD2,0_OTP,0_OXA1L,0_OXNAD1,0_P2RX6,0_P4HA2,0_P4HA3,0_P4HTM,0_PA2G4,0_PACSIN3,0_PADI1,0_PALM3,0_PAQR7,0_PARP14,0_PARP16,0_PARP3,0_PCBP3,0_PCCB,0_PCDH11X,0_PCDHB5,0_PCDHB7,0_PCDHGA11,0_PCDHGA3,0_PCDHGA6,0_PCDHGA9,0_PCDHGB3,0_PCDHGB5,0_PCDHGB6,0_PCDHGC4,0_PCK1,0_PCMTD2,0_PDCD5,0_PDCL2,0_PDE1A,0_PDGFB,0_PDIA5,0_PDK1,0_PDK4,0_PDLIM5,0_PEA15,0_PEG3,0_PEX2,0_PFKM,0_PFN2,0_PGAM2,0_PGAP3,0_PGK2,0_PGRMC2,0_PHC2,0_PHPT1,0_PI16,0_PI4KA,0_PIAS1,0_PICK1,0_PIK3C2B,0_PIK3CA,0_PIK3R3,0_PIR,0_PIWIL4,0_PLA2G12B,0_PLAU,0_PLCD1,0_PLCD3,0_PLCG2,0_PLCL1,0_PLCXD1,0_PLD2,0_PLEK2,0_PLEKHA1,0_PLEKHA2,0_PLEKHM1,0_PLIN2,0_PLK1,0_PLOD2,0_PLXNB1,0_PMS2,0_POF1B,0_POLR1E,0_POLR3D,0_POU2F1,0_PPP1R7,0_PPP2R2A,0_PPP2R3C,0_PPP5C,0_PRDM1,0_PRDX1,0_PRELID1,0_PRKCH,0_PROS1,0_PRPF39,0_PRPF4,0_PRR16,0_PRRC1,0_PRTFDC1,0_PSMC6,0_PSMF1,0_PSMG3,0_PTEN,0_PTGR1,0_PTHLH,0_PTPN21,0_PTPN9,0_PTTG2,0_PUM1,0_QRSL1,0_RAB10,0_RAB11FIP1,0_RAB32,0_RAB3GAP2,0_RAB43,0_RAB5A,0_RAB6B,0_RABEP1,0_RAD1,0_RADIL,0_RALA,0_RALGAPB,0_RANBP1,0_RAP1GDS1,0_RAPGEF3,0_RARG,0_RB1CC1,0_RBBP9,0_RBM15,0_RBM17,0_RBM22,0_RBM38,0_RBM45,0_REEP6,0_REM1,0_REN,0_REXO1,0_RFC1,0_RGMA,0_RGS1,0_RHOBTB1,0_RHPN1,0_RIC3,0_RIN2,0_RMND1,0_RNASET2,0_RNF141,0_RNF180,0_RNF19A,0_RNF31,0_RNF7,0_RNPEP,0_RPA4,0_RPL13,0_RPL14,0_RPL21,0_RPL9,0_RPS15,0_RPS16,0_RPS3A,0_RPS6KB1,0_RPS6KL1,0_RPUSD4,0_RRP15,0_RTF1,0_RUVBL1,0_S100A1,0_S100PBP,0_SAA4,0_SAFB,0_SAMD10,0_SAR1A,0_SAT1,0_SBDS,0_SBK2,0_SCARB1,0_SCARB2,0_SDC3,0_SEC14L2,0_SEC31A,0_SEC62,0_SELL,0_SEMA4B,0_SEMA5A,0_SERPINA4,0_SH3RF3,0_SHPK,0_SIRPA,0_SIRT1,0_SLC12A4,0_SLC13A1,0_SLC15A4,0_SLC16A4,0_SLC17A4,0_SLC1A4,0_SLC22A23,0_SLC25A10,0_SLC25A38,0_SLC25A5,0_SLC26A11,0_SLC26A2,0_SLC29A2,0_SLC2A2,0_SLC35E1,0_SLC38A10,0_SLC39A8,0_SLC43A1,0_SLC43A2,0_SMARCA2,0_SMPD3,0_SNAP29,0_SNAPIN,0_SNN,0_SNPH,0_SNRPA1,0_SNX10,0_SNX21,0_SNX9,0_SOCS1,0_SOX6,0_SOX9,0_SPATA18,0_SPHKAP,0_SPOCK2,0_SPRY4,0_SPSB2,0_SPTBN2,0_SQSTM1,0_SRD5A1,0_SREBF2,0_SRF,0_SRRT,0_SS18,0_SSBP1,0_ST6GALNAC6,0_ST8SIA2,0_ST8SIA5,0_STARD3NL,0_STBD1,0_STC1,0_STC2,0_STK35,0_STOM,0_STRBP,0_STX12,0_SUMO2,0_SUMO4,0_SUPT16H,0_SURF2,0_SYNCRIP,0_SYNE1,0_SYNGR3,0_TAF10,0_TAF8,0_TANK,0_TAPBP,0_TATDN2,0_TBC1D1,0_TBC1D15,0_TBC1D9B,0_TBKBP1,0_TBL1X,0_TCP11L1,0_TCTN1,0_TDRKH,0_TEC,0_TELO2,0_TF,0_TFAM,0_TFAP4,0_TFB1M,0_TFPT,0_TGFA,0_THOC3,0_TIFA,0_TIGD1,0_TLCD1,0_TM4SF18,0_TMC5,0_TMCO1,0_TMEM104,0_TMEM116,0_TMEM132E,0_TMEM139,0_TMEM169,0_TMEM184B,0_TMEM201,0_TMEM43,0_TMEM47,0_TMEM50B,0_TMEM70,0_TMEM72,0_TMPRSS2,0_TMTC1,0_TMUB2,0_TNFRSF14,0_TNFSF13B,0_TNPO1,0_TOE1,0_TOP1,0_TOP2A,0_TPD52L1,0_TPD52L2,0_TPK1,0_TPRN,0_TRAF3IP1,0_TRAPPC4,0_TRH,0_TRIM23,0_TRIM32,0_TRIM35,0_TRIM38,0_TRIP4,0_TRMT6,0_TSHZ1,0_TSKU,0_TSNAX,0_TSPAN6,0_TSPYL2,0_TST,0_TTC1,0_TTC30A,0_TTC32,0_TTF1,0_TTLL1,0_TUBA1A,0_TUBA8,0_TUBB,0_TUBD1,0_TUBG2,0_TUBGCP3,0_TUFT1,0_TWF1,0_TYMP,0_UBA2,0_UBA3,0_UBE2D4,0_UBE2E2,0_UBE2G1,0_UBE2G2,0_UBE2L3,0_UBR3,0_UBTF,0_UBXN2A,0_UBXN8,0_UGT1A6,0_UNC5CL,0_UPK1B,0_UQCRFS1,0_UQCRH,0_URGCP,0_UROC1,0_VAPA,0_VEGFA,0_VPS11,0_VPS41,0_VWF,0_WARS2,0_WDFY3,0_WDR18,0_WDR24,0_WDR31,0_WDR35,0_WDR54,0_WNK2,0_WNK4,0_WT1,0_XPC,0_XRCC4,0_XRCC5,0_YAF2,0_YIF1A,0_YTHDF2,0_YWHAE,0_ZBTB34,0_ZBTB37,0_ZDHHC6,0_ZFPM2,0_ZFYVE1,0_ZNF131,0_ZNF135,0_ZNF436,0_ZNF44,0_ZNF677,0_ZNF69,0_ZNF703,0_ZNF707,0_ZNF763,0_ZSCAN12,0_ZSCAN2
0,0,95,0,0,7,0,0,38,0,94,20,0,0,0,51,3,0,0,68,0,0,35,0,44,63,59,13,17,0,81,47,4,0,41,14,28,28,0,29,0,8,0,0,0,0,0,76,19,15,57,89,0,0,48,0,0,0,0,0,0,52,9,0,0,53,0,7,0,9,0,0,0,0,1,0,0,49,7,0,0,0,0,0,0,4,93,4,0,0,0,15,10,0,0,18,0,20,0,0,0,0,7,10,24,0,34,0,0,54,0,22,32,0,2,11,7,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,28,0,43,0,0,0,0,17,0,13,0,12,0,0,0,66,0,0,14,0,0,69,108,0,61,11,80,25,0,118,44,16,12,0,0,0,21,43,42,0,7,0,6,0,125,79,18,0,2,18,0,0,0,101,0,56,17,0,0,18,0,1,0,52,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,52,30,0,40,0,47,0,0,17,22,11,0,2,0,0,19,0,0,0,0,0,26,10,0,41,16,0,44,17,0,0,0,0,0,0,63,0,17,0,0,0,44,0,0,124,0,0,106,0,21,62,0,12,1,100,4,0,0,0,0,0,23,3,0,0,0,3,53,0,0,0,0,0,10,11,0,48,0,0,0,0,0,20,4,1,0,0,1,32,0,0,0,0,0,0,0,0,3,0,0,30,16,2,0,0,0,0,37,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,10,0,0,27,0,70,0,0,0,46,32,0,0,101,0,0,0,42,31,0,92,0,25,0,11,59,0,0,38,34,12,0,25,6,0,0,0,17,13,0,0,14,30,0,34,6,36,41,14,0,112,0,0,4,47,13,0,0,7,0,41,65,0,0,0,8,0,34,4,0,0,0,41,0,0,0,0,0,44,0,0,0,0,0,20,0,2,0,0,5,57,0,0,89,0,0,1,18,0,3,0,0,7,17,0,12,1,0,0,9,0,42,6,0,0,0,0,41,0,43,35,16,0,0,0,0,1,0,0,0,0,0,0,33,0,0,26,0,0,0,0,0,22,0,0,0,0,0,0,0,12,0,35,0,0,0,0,0,33,19,54,0,0,43,17,0,0,89,0,46,0,0,0,0,0,0,0,9,0,0,71,8,19,36,0,0,0,1,18,0,0,27,32,10,0,1,0,113,0,0,0,31,0,0,60,11,39,17,18,116,8,0,0,1,60,12,0,0,0,62,0,0,52,1,0,0,0,2,0,0,26,2,41,0,103,4,0,36,0,0,83,0,0,42,0,67,0,0,0,67,0,49,10,7,12,12,69,9,49,6,56,25,25,28,0,7,15,0,0,0,34,0,2,0,0,0,0,22,47,23,35,94,0,18,0,0,0,0,0,0,115,23,0,0,0,0,0,0,0,0,19,30,0,0,31,0,0,0,0,0,0,0,10,29,60,6,0,0,0,0,0,13,0,0,0,0,20,0,57,0,28,72,0,9,0,47,32,0,0,6,0,0,21,0,0,0,58,28,0,25,75,0,7,24,0,0,23,0,22,36,0,18,0,85,0,6,0,0,0,6,18,0,0,0,0,38,0,27,1,2,15,0,0,84,5,0,0,0,0,0,8,17,0,9,53,0,0,24,0,51,26,0,0,0,25,0,0,95,0,0,4,0,63,48,0,7,0,0,0,24,5,0,24,39,0,0,0,4,36,0,2,0,74,10,0,54,24,0,12,27,0,0,16,39,7,0,25,0,24,26,30,28,21,0,0,76,21,0,0,0,0,0,21,1,0,0,2,0,0,36,82,0,33,0,52,0,0,0,15,0,0,70,0,0,1,0,0,19,0,0,0,0,0,38,0,3,0,0,0,0,0,34,0,24,0,19,4,14,0,0,32,0,0,5,0,0,19,3,7,0,0,0,0,5,19,26,13,0,0,0,0,0,0,34,12,76,0,0,125,0,0,0,1,47,0,22,0,0,0,20,46,58,0,3,8,0,0,13,0,25,53,0,0,22,0,0,0,5,37,0,11,4,0,0,0,50,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,1,117,0,2,2,52,50,0,42,34,0,0,50,2,0,0,0,12,12,30,4,0,0,0,21,2
100,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,4,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,3,1,0,0,1,0,4,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,23,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,43,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,146,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,15,0,0,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,4,0,1,0,0,1,1,0,2,0,3,0,22,6,0,0,0,1,0,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,122,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,1,6,8,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,260,0,0,1,0,2,0,0,0,1,0,1,0,5,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18,0,14,0,0,2,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,1,0,35,1,0,0,0,0,0,26,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,4,1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,33,0,0,5,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,4,0,0,0,0,0,0,1,0,0,5,0,0,0,0,4,0,0,321,0,0,0,1,0,4,0,0,0,0,0,1,28,0,1,5,0,0,0,0,0,1,1,0,0,0,0,1,0,288,0,3,1,1,3,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,7,112,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,1,1,2,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,3,0,1,1,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,2,4,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,3,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,86,0,0,0,0,0,0,0,0,0,1,0,1,7,1,2,0,0,0,1,0,0,0,0,3,2,3,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,1,0,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,1,0,2,2,0,0,0,9,0,2,0,0,0,3,0,0,10,0,0,0,0,0,0,2,0,6,0,2,2,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,3,3,3,23,0,0,0,0,1,0,1,0,1,1,0,13,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,1,0,0,5,1,0,0,0,0,0,6,0,0,7,7,0,0,0,0,2,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,292,0,1,24,0,0,3,0,0,0,0,0,4,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,7,1,1,1,0,2,0,0,1,0,0,4,0,0,246,0,1,0,0,0,0,2,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,0,5,1,2,0,0,0,0,0,2,0,1,15,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,6,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,1,0,3,8,2,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,7,0,1,0,0,0,0,2,1,1,339,0,1,1,0,4,0,0,0,0,1,0,2,272,0,0,5,0,2,0,0,0,0,0,0,1,0,2,0,0,366,3,0,2,0,0,6,1,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,31,19,0,0,0,0,2,5,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0
