0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.130b.3p,1_hsa.miR.144.5p,1_hsa.miR.194.3p,1_hsa.miR.296.5p,1_hsa.miR.92b.3p,2_ABCG2.9429,2_AMOT.154796,2_ANGPTL6.83854,2_AP2M1.1173,2_APC.324,2_ASXL3.80816,2_AUH.549,2_BOLA3.388962,2_BRD9.65980,2_BUD31.8896,2_C16orf59.80178,2_C17orf62.79415,2_C21orf59.56683,2_C5orf23.79614,2_C6orf153.88745,2_C6orf186.728464,2_CALR.811,2_CDCA3.83461,2_CHD9.80205,2_CLDN10.9071,2_CLINT1.9685,2_CST5.1473,2_CTTNBP2NL.55917,2_DDX46.9879,2_DMXL1.1657,2_DNTTIP1.116092,2_DUS1L.64118,2_EDNRB.1910,2_EIF5AL1.143244,2_EN2.2020,2_F2RL1.2150,2_FBXO48.554251,2_FKBP11.51303,2_GDF5.8200,2_GFOD1.54438,2_GOLGA3.2802,2_GOLT1B.51026,2_H3F3C.440093,2_HELQ.113510,2_HOXA3.3200,2_IGDCC4.57722,2_IGFN1.91156,2_IL6R.3570,2_IRF6.3664,2_ITGAE.3682,2_KIAA1161.57462,2_KIF23.9493,2_KL.9365,2_KLRG2.346689,2_LOC220429.220429,2_LOC388796.388796,2_MEGF9.1955,2_MPG.4350,2_MPV17L2.84769,2_MYO9A.4649,2_NCKAP5L.57701,2_NOP56.10528,2_NPLOC4.55666,2_NUMB.8650,2_PDGFD.80310,2_PDGFRL.5157,2_PELI2.57161,2_PEX11A.8800,2_PEX6.5190,2_PLP2.5355,2_PLXNB3.5365,2_POLR2J.5439,2_PRCC.5546,2_PSMB1.5689,2_QRFPR.84109,2_RANGAP1.5905,2_RFC2.5982,2_RPLP0P2.113157,2_SAA1.6288,2_SEMA3D.223117,2_SERPINF1.5176,2_SLC4A3.6508,2_SMARCD3.6604,2_SORBS2.8470,2_SYNJ2BP.55333,2_TBC1D8B.54885,2_TEK.7010,2_TRIP11.9321,2_TTYH1.57348,2_TUBB2B.347733,2_UBE2Q1.55585,2_UCN2.90226,2_WDR46.9277,2_ZNF14.7561,2_ZNF385A.25946,2_ZNF570.148268,2_ZNF836.162962
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
