0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.10b.3p,1_hsa.miR.18a.5p,1_hsa.miR.21.5p,1_hsa.miR.34c.5p,1_hsa.miR.96.5p,2_ADAM8.101,2_AMOT.154796,2_ANO4.121601,2_ANXA8L2.244,2_AP1AR.55435,2_ARHGEF9.23229,2_ASXL3.80816,2_AUTS2.26053,2_BARX1.56033,2_BUB1.699,2_C11orf45.219833,2_C12orf32.83695,2_C14orf34.645687,2_C7orf43.55262,2_CCDC121.79635,2_CCNB2.9133,2_CDADC1.81602,2_CDC123.8872,2_CDKL2.8999,2_CHRNB4.1143,2_CMA1.1215,2_CNNM2.54805,2_CXorf1.9142,2_CYBA.1535,2_CYP3A7.1551,2_DAB2IP.153090,2_DBF4.10926,2_DONSON.29980,2_DPP3.10072,2_DTYMK.1841,2_DUSP13.51207,2_EN2.2020,2_ERN2.10595,2_FAM160A1.729830,2_FAM54A.113115,2_FBXO3.26273,2_FGD5.152273,2_FGF5.2250,2_FOXN3.1112,2_GALR1.2587,2_GPR172A.79581,2_GYG2.8908,2_HNRNPAB.3182,2_ICAM5.7087,2_IL1RN.3557,2_IMPDH1.3614,2_IQGAP3.128239,2_ITGAE.3682,2_ITPKA.3706,2_KL.9365,2_KLF12.11278,2_KLF9.687,2_LCTL.197021,2_LGALS3BP.3959,2_LOC100134713.100134713,2_LOC283050.283050,2_LOC286467.286467,2_LRP5.4041,2_MEMO1.51072,2_METTL7A.25840,2_MTERFD1.51001,2_PADI3.51702,2_PFDN4.5203,2_PIP5KL1.138429,2_PKMYT1.9088,2_PSTK.118672,2_QRFPR.84109,2_RCAN2.10231,2_RGS17.26575,2_RUNDC3B.154661,2_SESTD1.91404,2_SKA3.221150,2_SLC12A8.84561,2_SLITRK2.84631,2_SORBS2.8470,2_SPATA18.132671,2_SUSD4.55061,2_TBC1D15.64786,2_TDG.6996,2_TMEM165.55858,2_TRIM65.201292,2_TRIP13.9319,2_UBE2S.27338,2_ZNF570.148268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
