0_ajcc_pathologic_tumor_stage_Stage I,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.miR.101.3p,1_hsa.miR.130b.3p,1_hsa.miR.192.3p,1_hsa.miR.194.3p,1_hsa.miR.194.5p,1_hsa.miR.30e.3p,2_ADAMTS14.140766,2_B4GALT3.8703,2_BMP1.649,2_C17orf96.100170841,2_C19orf76.199800,2_C4orf48.401115,2_CBX3.11335,2_CBX4.8535,2_CCT3.7203,2_CDC7.8317,2_CDCA5.113130,2_CDCA7.83879,2_CDK4.1019,2_COBL.23242,2_COL4A4.1286,2_COPS7A.50813,2_COX6B2.125965,2_CRYL1.51084,2_CTAGE1.64693,2_CTU2.348180,2_CYBA.1535,2_CYFIP2.26999,2_DCTN2.10540,2_DIP2C.22982,2_DKFZp686O24166.374383,2_DLX4.1748,2_DMXL1.1657,2_DVL3.1857,2_ELOVL7.79993,2_ENAM.10117,2_EXO1.9156,2_FAM72B.653820,2_FUT6.2528,2_GIPC2.54810,2_GTPBP4.23560,2_HERC3.8916,2_HHIPL2.79802,2_HHLA2.11148,2_HJURP.55355,2_HMGN1.3150,2_HN1.51155,2_KCNN4.3783,2_KCTD5.54442,2_KIAA0564.23078,2_KIF4A.24137,2_KRT78.196374,2_LASS5.91012,2_MEA1.4201,2_METTL1.4234,2_METTL7A.25840,2_MOBKL2B.79817,2_MPP1.4354,2_MRPL9.65005,2_MSTO1.55154,2_NCLN.56926,2_ONECUT2.9480,2_OR13A1.79290,2_PCCA.5095,2_PFDN4.5203,2_PIPSL.266971,2_PLS1.5357,2_PRMT1.3276,2_PSMD7.5713,2_RAG1.5896,2_RASSF6.166824,2_RBM47.54502,2_RIMKLA.284716,2_SCP2.6342,2_SHC1.6464,2_SKA3.221150,2_SLC2A6.11182,2_SLC3A1.6519,2_SLC5A12.159963,2_SNX2.6643,2_STON1.GTF2A1L.286749,2_STRADA.92335,2_STX1A.6804,2_TBC1D8B.54885,2_TDG.6996,2_TUBA1B.10376,2_TUBA1C.84790,2_UCK2.7371,2_WDR72.256764,2_ZIC2.7546
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
